Id,Centred Broto-Moreau autocorrelation of lag 7 weighted by mass,eta average core count,Geary autocorrelation of lag 1 weighted by polarizability,molecular multiple path count of order 9,path/walk 3 - Randic shape index,largest eigenvalue n. 1 of Burden matrix weighted by mass,largest eigenvalue n. 1 of Burden matrix weighted by polarizability,largest eigenvalue n. 2 of Burden matrix weighted by mass,Wiener-like index from detour matrix (detour index),valence connectivity index of order 4,AntagonistClass
e1911,77.529,0.479,0.987,6.664,0.339,4.219,3.888,3.888,15573,7.717,inactive
e1912,22.853,0.505,1.12,0,0.316,3.906,3.675,3.75,256,0.832,inactive
e1913,33.754,0.463,1.38,7.443,0.352,4.053,3.968,3.751,3641,3.347,inactive
e1916,31.48,0.474,0.881,6.163,0.359,4.149,3.889,3.988,5225,6.278,inactive
e1917,12.641,0.483,0.767,6.158,0.344,4.288,3.896,4.095,3727,5.687,inactive
e1918,14.73,0.482,1.17,4.192,0.33,4.03,3.87,3.615,922,1.848,inactive
e1921,155.246,0.466,1.015,6.356,0.315,4.174,3.912,3.924,49646,10.048,inactive
e1922,17.631,0.463,1.148,6.537,0.321,3.979,3.971,3.733,2048,2.312,inactive
e1923,28.192,0.454,1.631,6.61,0.31,4.423,3.932,3.953,2201,3.235,inactive
e1924,36.578,0.491,0.958,5.54,0.33,4.194,3.803,3.859,2385,5.29,inactive
e1925,37.452,0.455,1.493,5.353,0.305,3.885,3.872,3.75,7126,3.758,inactive
e1926,11.99,0.472,0.713,6.32,0.332,4.034,3.918,3.855,1474,1.902,inactive
e1927,56.732,0.448,1.48,4.942,0.361,3.885,3.797,3.768,4894,4.898,inactive
e1928,25.008,0.472,1.138,7.102,0.338,4.003,3.957,3.822,3638,3.035,inactive
e1929,49.81,0.484,1.421,7.273,0.347,4.747,4.09,4.729,6872,5.734,inactive
e1930,30.163,0.491,1.25,7.185,0.34,4.765,4.189,3.756,2878,4.912,inactive
e1932,4.63,0.45,2.073,0,0.235,4.415,3.801,3.472,134,0.602,inactive
e1933,26.724,0.468,0.961,7.355,0.333,4.005,3.935,3.872,8159,3.819,inactive
e1934,122.559,0.466,1.121,6.966,0.31,4.696,4.054,4.092,41375,8.925,inactive
e1935,22.883,0.474,1.13,5.475,0.354,4.719,4.02,4.142,2871,5.851,inactive
e1936,27.288,0.493,1.347,4.344,0.251,3.782,3.814,3.687,1945,2.509,inactive
e1937,18.534,0.532,1.487,4.808,0.3,4.658,4.158,4.169,682,5.027,inactive
e1938,57.025,0.468,1.211,6.861,0.341,4.735,4.052,3.948,9470,6.528,inactive
e1939,12.054,0.452,1.16,6.217,0.314,3.947,3.877,3.681,1533,1.583,inactive
e1940,25.351,0.482,1.369,4.854,0.35,3.912,3.896,3.698,1132,2.649,inactive
e1942,27.72,0.501,1.032,6.961,0.337,4.147,3.991,3.733,3502,4.642,inactive
e1943,44.195,0.462,1.293,5.475,0.336,3.902,3.877,3.826,4613,4.261,inactive
e1944,12.652,0.486,1.06,6.25,0.346,4.736,4.067,3.944,1924,3.229,inactive
e1946,26.418,0.469,1.274,5.027,0.319,3.899,3.875,3.849,2590,2.494,inactive
e1947,37.033,0.477,1.411,5.589,0.297,4.722,3.986,3.877,3883,5.047,inactive
e1948,51.777,0.488,1.011,5.274,0.338,4.218,3.905,3.859,3860,7.343,inactive
e1949,28.542,0.491,1.039,7.201,0.345,4.023,4.018,3.717,2985,3.741,inactive
e1950,33.949,0.489,1.373,4.533,0.256,3.782,3.805,3.703,3404,2.815,inactive
e1951,29.488,0.476,1.017,7.393,0.352,4.09,3.98,3.962,3851,3.359,inactive
e1952,13.5,0.472,0.804,6.204,0.328,3.965,3.947,3.774,1206,1.898,inactive
e1953,36.146,0.453,1.375,4.635,0.326,3.937,3.893,3.684,3271,4.419,inactive
e1954,48.265,0.479,1.189,6.413,0.355,4.038,4.054,3.826,5985,7.381,inactive
e1955,18.874,0.456,1.673,4.078,0.289,4.433,3.913,3.81,887,1.571,inactive
e1956,23.555,0.459,1.191,7.146,0.339,4.384,4.015,3.945,3171,3.407,inactive
e196,26.741,0.473,0.861,6.879,0.376,4.153,3.943,4.067,4467,5.696,inactive
e1959,63.23,0.461,1.355,6.215,0.355,3.969,3.92,3.897,7231,5.929,inactive
e1961,104.131,0.475,1.501,6.457,0.343,4.049,4.05,3.866,15120,11.586,inactive
e1962,26.635,0.479,1.06,6.937,0.308,3.967,3.955,3.783,2645,3.14,inactive
e1963,5.278,0.509,0.928,4.756,0.334,4.033,3.942,3.607,669,2.084,inactive
e1964,28.921,0.449,1.238,5.96,0.35,3.941,3.859,3.855,4481,3.074,inactive
e1965,56.192,0.444,1.628,4.489,0.263,3.787,3.685,3.602,3780,3.183,inactive
e1966,24.146,0.474,1.486,7.333,0.288,4.701,3.991,4.69,3320,3.464,inactive
e1967,25.437,0.479,1.148,4.597,0.294,3.885,3.877,3.838,3149,2.938,inactive
e1968,65.038,0.438,1.248,6.5,0.34,3.954,3.9,3.899,16106,5.254,inactive
e1969,24.319,0.479,1.288,5.665,0.345,3.976,3.89,3.89,2861,3.942,inactive
e1970,26.023,0.478,1.564,2.773,0.249,3.702,3.739,3.619,1956,2.872,inactive
e1972,8.939,0.472,0.717,8.088,0.365,4.145,4.132,3.736,1745,2.395,inactive
e1973,1.564,0.467,0.95,0,0.263,3.846,3.858,3.382,210,0.77,inactive
e1974,9.879,0.479,1.32,3.663,0.325,3.877,3.87,3.472,416,1.304,inactive
e1975,6.855,0.439,1.317,0,0.262,3.669,3.606,3.473,247,0.669,inactive
e1976,20.003,0.479,1.099,7.171,0.373,4.147,4.095,3.895,2720,3.668,inactive
e1981,67.975,0.484,1.46,4.718,0.335,4.421,3.858,3.971,3646,5.933,inactive
e3390,1.164,0.489,1.69,0,0.313,3.843,3.78,3.299,139,2.082,inactive
e1985,69.736,0.612,0.444,4.343,0.338,10.699,4.121,10.692,556,2.974,inactive
e1986,6.676,0.47,1.412,1.609,0.248,3.676,3.678,3.456,200,0.873,inactive
e1987,0,0.479,0.927,0,0.301,3.838,3.844,3.131,124,0.532,inactive
e1990,27.729,0.488,1.103,5.966,0.332,3.953,3.955,3.729,1946,3.625,inactive
e1991,54.134,0.516,1.717,6.315,0.317,4.871,4.391,4.204,2580,19.062,inactive
e1992,6.967,0.491,1.493,1.099,0.294,3.768,3.803,3.459,264,2.041,inactive
e1993,81.437,0.468,1.222,7.471,0.383,4.145,4.114,3.993,14494,8.629,inactive
e1996,11.435,0.456,1.163,4.343,0.301,3.958,3.886,3.607,655,1.283,inactive
e1997,2.773,0.458,0.861,5.481,0.334,3.946,3.85,3.609,393,0.947,inactive
e1998,41.118,0.46,1.449,4.543,0.342,3.928,3.882,3.703,2782,4.395,inactive
e1999,10.745,0.472,1.299,5.839,0.319,4.736,4.062,3.783,1305,2.439,inactive
e2001,0,0.511,1.445,0,0.308,3.82,3.645,3.557,124,1.405,inactive
e2002,6.218,0.417,1.394,0,0.359,3.712,3.602,3.384,206,0.602,inactive
e2003,2.561,0.417,1.075,0,0.256,3.751,3.654,3.334,211,0.5,inactive
e2004,112.36,0.491,1.336,6.79,0.289,3.964,3.978,3.884,57600,11.297,inactive
e2005,25.561,0.501,0.914,6.666,0.341,4.054,3.96,3.818,1702,2.563,inactive
e2008,7.092,0.454,1.029,3.056,0.33,3.895,3.855,3.448,390,0.96,inactive
e2009,11.883,0.427,1.425,0,0.331,3.743,3.637,3.487,384,0.983,inactive
e2010,51.135,0.495,1.26,6.073,0.385,4.038,4.063,3.808,6977,9.283,inactive
e2011,32.122,0.47,1.215,7.145,0.322,4.012,3.98,3.761,4461,3.296,inactive
e2012,9.295,0.471,1.265,5.866,0.382,4.726,4.061,3.92,1072,2.557,antagonist
e2015,11.478,0.474,0.824,7.31,0.34,4.05,4.01,3.787,1632,2.091,inactive
e2016,48.528,0.479,1.062,6.388,0.356,3.986,3.985,3.916,6846,5.517,inactive
e2017,29.317,0.458,1.181,6.055,0.329,3.907,3.827,3.823,7640,3.392,inactive
e2019,58.643,0.469,1.275,5.501,0.402,4.028,4.028,3.673,3759,6.697,inactive
e2020,33.766,0.464,1.349,6.949,0.354,4.048,3.919,3.804,3800,3.457,inactive
e2021,4.269,0.473,1.5,0,0.293,3.706,3.699,3.279,131,1.126,inactive
e2024,32.678,0.484,1.226,6.301,0.325,4.788,4.159,4.69,2702,5.688,inactive
e2025,19.73,0.495,1.141,6.367,0.375,4.044,4.052,3.672,2218,5.311,inactive
e2026,22.426,0.468,0.972,5.429,0.366,4.102,3.869,3.817,2688,4.268,inactive
e2027,16.671,0.45,1.498,5.124,0.298,3.855,3.721,3.552,1178,1.546,inactive
e2028,32.954,0.453,1.049,7.656,0.362,4.059,3.998,3.739,4218,3.336,inactive
e2029,11.98,0.452,1.346,4.819,0.327,3.862,3.818,3.693,817,1.446,inactive
e2030,5.34,0.417,1.394,0,0.359,3.701,3.603,3.385,206,0.618,inactive
e2031,10.855,0.469,1.277,7.624,0.354,4.73,4.091,4.716,4166,4.065,inactive
e2033,5.877,0.441,0.835,6.149,0.324,3.945,3.876,3.665,893,1.21,inactive
e2034,22.957,0.477,1.222,7.598,0.351,4.73,4.071,4.093,5149,4.178,antagonist
e2036,8.973,0.493,0.826,2.944,0.286,4.028,3.747,3.894,561,2.572,inactive
e2037,12.198,0.465,1.089,7.116,0.325,3.988,3.941,3.79,2716,2.315,inactive
e2038,12.699,0.467,1.103,7.332,0.323,4.096,4.02,3.634,2066,2.029,inactive
e2040,8.245,0.45,1.373,2.303,0.217,3.627,3.576,3.467,268,0.696,inactive
e2042,6.219,0.405,1.255,0,0.352,3.732,3.6,3.476,309,0.666,inactive
e2043,0,0.43,1.801,0,0.348,3.602,3.457,3.13,94,0.528,inactive
e3368,2.486,0.49,1.67,0,0.307,3.832,3.777,3.341,202,2.259,inactive
e2045,0,0.554,0.988,0,0.272,3.877,3.576,3.72,138,1.411,inactive
e2048,43.835,0.477,1.065,6.254,0.324,4.017,3.912,3.925,5913,3.756,inactive
e2049,28.887,0.504,1.124,6.901,0.345,4.794,4.126,4.74,6314,7.418,inactive
e2050,24.198,0.464,1.387,6.644,0.336,3.98,3.936,3.642,3105,2.908,inactive
e2051,20.402,0.475,1.907,2.565,0.211,4.713,3.899,4.701,736,1.781,inactive
e2052,31.303,0.477,1.224,6.814,0.352,4.113,4.06,3.872,4092,4.172,inactive
e2053,59.179,0.495,1.077,7.654,0.355,4.101,4.094,4.053,11227,7.798,inactive
e2054,26.869,0.492,1.24,6.634,0.307,4.754,4.154,4.279,2296,3.771,inactive
e2055,31.101,0.463,1.169,6.63,0.364,3.986,3.959,3.866,2984,3.339,inactive
e2056,20.597,0.489,0.977,5.635,0.34,4.163,3.93,3.784,2343,3.82,inactive
e2057,25.702,0.486,1.093,7.339,0.341,4.009,3.988,3.727,2985,3.301,inactive
e2058,33.48,0.479,1.116,6.144,0.331,4.039,3.911,3.842,3624,3.324,inactive
e2059,37.45,0.484,1.339,5.295,0.332,3.937,3.929,3.783,1866,4.42,inactive
e2060,18.742,0.478,1.317,5.922,0.337,3.938,3.897,3.746,1466,2.557,inactive
e2061,31.862,0.456,1.473,3.296,0.263,3.734,3.673,3.611,2796,2.313,inactive
e2062,24.012,0.477,1.313,4.798,0.342,3.933,3.928,3.639,1129,2.906,inactive
e2063,41.093,0.47,1.27,8.591,0.345,4.751,4.156,4.721,26663,8.53,inactive
e2066,0,0.433,2.007,0,0.2,3.482,3.299,2.814,18,0,inactive
e2068,23.176,0.47,1.376,5.883,0.292,4.709,3.947,3.895,3293,2.988,inactive
e2069,20.378,0.516,0.65,7.2,0.366,10.695,4.072,4.041,2701,3.23,inactive
e2070,31.004,0.48,1.157,5.547,0.336,3.933,3.911,3.812,1834,2.797,inactive
e2072,18.3,0.475,1.433,4.799,0.31,3.892,3.864,3.609,1406,2.024,inactive
e2073,32.859,0.54,0.69,3.943,0.268,10.695,3.865,3.836,1365,2.178,inactive
e2074,16.145,0.482,1.634,6.232,0.365,4.631,4.158,4.169,1335,3.828,inactive
e2076,30.085,0.483,1.208,6.379,0.341,3.979,3.944,3.814,2503,4.557,inactive
e2077,190.227,0.632,0.485,5.768,0.336,10.706,4.209,10.698,8680,11.025,inactive
e2080,26.803,0.491,1.255,7.253,0.341,4.733,4.17,3.979,1429,3.038,inactive
e2081,17.109,0.461,0.982,4.392,0.287,4.004,3.865,3.719,2272,2.164,inactive
e2082,14.625,0.461,1.177,4.202,0.306,3.885,3.886,3.636,835,1.648,inactive
e2083,34.932,0.481,1.198,7.206,0.336,4.011,3.983,3.77,4302,4.385,inactive
e2084,7.924,0.436,1.424,4.443,0.34,3.842,3.665,3.575,659,1.33,inactive
e2085,39.212,0.463,1.294,5.658,0.315,4.008,3.789,3.842,2860,2.981,inactive
e2086,20.405,0.487,1.142,4.358,0.286,4.003,3.89,3.68,744,1.726,inactive
e2090,21.581,0.449,1.319,5.073,0.349,3.893,3.854,3.799,2488,2.818,inactive
e2091,27.094,0.477,1.197,6.64,0.343,3.999,3.95,3.83,4217,4.133,inactive
e2093,23.697,0.483,1.023,8.078,0.339,4.296,4.048,3.872,4917,4.538,inactive
e2094,19.494,0.482,0.944,4.78,0.299,3.964,3.897,3.863,970,2.213,inactive
e2095,24.355,0.472,1.378,5.174,0.292,3.888,3.87,3.662,2160,2.797,inactive
e2096,28.618,0.481,1.227,6.943,0.325,4.693,3.955,4.053,3295,3.152,inactive
e2097,2.188,0.48,0.978,0,0.322,3.853,3.863,3.334,205,0.838,inactive
e2099,14.235,0.486,1.027,4.31,0.29,4.025,3.878,3.628,658,1.6,inactive
e2101,26.124,0.463,1.166,6.292,0.331,3.955,3.915,3.884,4043,2.847,inactive
e2102,27.608,0.462,1.426,6.498,0.316,4.781,4.157,4.686,2668,4.747,inactive
e2103,16.476,0.473,1.129,6.234,0.325,3.961,3.901,3.732,1498,2.664,inactive
e2104,12.026,0.424,1.488,4.311,0.344,3.986,3.732,3.614,759,1.153,inactive
e2106,18.471,0.472,1.336,5.873,0.325,4.736,4.063,3.809,1314,2.533,inactive
e2107,22.139,0.503,0.896,5.745,0.341,4.019,3.96,3.893,1826,2.925,antagonist
e2108,12.13,0.457,1.122,5.823,0.293,4.052,3.889,3.59,2194,1.781,inactive
e2109,15.778,0.462,0.805,6.711,0.366,3.998,3.978,3.798,1816,2.658,inactive
e2110,26.551,0.467,0.873,6.538,0.35,4.22,3.892,4.107,4941,5.076,inactive
e2111,17.168,0.487,1.235,4.624,0.318,4.736,4.059,3.925,1085,2.818,inactive
e2112,115.614,0.48,1.384,6.43,0.357,4.062,4.059,3.88,14966,12.498,inactive
e2113,99.601,0.478,1.38,6.344,0.353,4.043,4.049,3.843,12985,11.211,inactive
e2114,27.466,0.452,1.028,7.687,0.354,4.047,3.971,3.838,4792,3.756,inactive
e2115,22.392,0.461,1.508,5.406,0.327,3.905,3.866,3.651,1937,2.182,inactive
e2116,7.037,0.441,0.989,6.786,0.341,4.054,3.919,3.866,995,1.542,inactive
e2117,22.275,0.478,0.927,7.531,0.345,4.149,4.084,3.977,2823,3.081,inactive
e2120,15.961,0.496,0.746,6.209,0.311,4.094,3.899,3.856,1302,2.036,inactive
e2121,28.164,0.483,1.051,6.793,0.311,4.001,4.01,3.728,3881,3.745,inactive
e2122,13.371,0.488,1.065,5.807,0.329,4.081,4.047,3.719,1206,2.868,inactive
e2123,11.234,0.48,1.06,6.088,0.357,4.338,3.959,3.897,971,2.308,inactive
e2124,22.043,0.462,0.912,7.343,0.339,4.137,4.077,3.852,2510,2.71,inactive
e2125,30.475,0.507,1.014,5.792,0.322,4.221,3.942,3.863,1351,3.63,inactive
e2126,29.582,0.47,1.312,5.455,0.358,4.015,3.988,3.842,4329,5.922,inactive
e2127,8.011,0.469,1.16,3.726,0.292,3.826,3.816,3.51,334,0.786,inactive
e2128,45.036,0.458,1.605,5.373,0.321,3.93,3.855,3.718,3513,3.148,inactive
e2130,21.953,0.502,1.142,5.614,0.323,4.743,4.068,4.195,1095,3.393,inactive
e2131,11.015,0.464,1.19,4.742,0.323,3.923,3.883,3.553,780,1.563,inactive
e2132,16.586,0.475,1.645,4.627,0.326,4.458,3.995,3.921,732,2.369,antagonist
e2133,28.039,0.493,1.41,5.243,0.348,4.782,4.143,4.687,1679,5.015,inactive
e2134,28.372,0.452,1.025,6.201,0.349,4.077,3.833,3.956,4919,4.302,inactive
e2136,35.892,0.464,0.917,7.315,0.366,4.135,4.007,3.913,3805,4.564,inactive
e2137,15.55,0.4,1.858,3.219,0.234,3.775,3.554,3.691,876,1.069,inactive
e2138,7.651,0.426,1.542,4.205,0.321,3.906,3.736,3.52,1134,1.861,inactive
e2141,10.355,0.467,1.276,4.018,0.299,3.856,3.862,3.639,673,1.176,inactive
e2142,22.769,0.485,1.225,4.973,0.318,4.021,3.871,3.643,1442,2.077,inactive
e2143,21.312,0.463,1.376,3.912,0.341,3.891,3.801,3.645,1202,2.981,inactive
e2144,11.389,0.462,1.38,3.045,0.331,3.838,3.75,3.633,538,2.134,inactive
e2146,20.003,0.479,1.099,7.171,0.373,4.147,4.095,3.895,2720,3.668,inactive
e2147,13.65,0.51,0.969,5.145,0.319,4.221,3.933,3.744,582,2.077,inactive
e2148,24.698,0.496,1.124,5.829,0.295,4.004,3.883,3.822,1271,2.072,inactive
e2149,9.174,0.469,1.131,4.996,0.376,3.92,3.85,3.675,642,1.665,inactive
e2150,36.656,0.417,1.422,3.871,0.372,3.82,3.693,3.674,1701,2.163,inactive
e2155,59.969,0.461,1.303,7.732,0.382,4.066,4.026,3.809,7006,4.423,inactive
e2156,2.228,0.417,1.424,0,0.39,3.784,3.658,3.249,314,1.03,inactive
e2157,26.979,0.475,0.755,6.252,0.353,4.136,3.906,3.965,4785,5.489,inactive
e5119,9.603,0.488,1.014,6.124,0.366,4.018,4.011,3.767,927,2.871,inactive
e2159,24.432,0.459,1.409,5.14,0.349,3.932,3.862,3.7,1500,2.456,inactive
e2160,170.766,0.456,1.612,5.849,0.364,3.946,3.884,3.812,27133,10.018,inactive
e2162,54.107,0.446,1.482,4.654,0.374,3.89,3.796,3.738,3063,3.95,inactive
e2163,32.072,0.475,1.38,5.383,0.362,4.742,4.111,3.848,2313,4.222,inactive
e2164,7.803,0.433,1.368,0,0.255,3.72,3.619,3.458,274,0.789,inactive
e2509,61.418,0.475,1.289,6.963,0.37,4.023,4,3.939,9040,6.737,antagonist
e2166,1.796,0.45,2.073,0,0.259,4.417,3.807,3.448,126,0.84,inactive
e2167,32.789,0.463,1.095,5.952,0.37,4.147,3.917,3.894,6176,6.25,inactive
e2168,27.072,0.495,1.122,5.981,0.288,3.94,3.958,3.729,1366,2.987,inactive
e2169,15.421,0.444,1.307,6.04,0.362,3.997,3.835,3.679,1575,2.366,inactive
e2170,76.671,0.494,1.305,7.451,0.316,4.741,4.103,4.125,20238,9.069,inactive
e2172,29.546,0.459,1.205,4.934,0.334,3.876,3.874,3.813,2231,3.143,inactive
e2173,0.421,0.417,1.329,1.792,0.388,3.87,3.716,3.234,412,1.383,inactive
e2174,6.664,0.457,2.002,0,0.194,3.715,3.6,3.447,139,0.501,inactive
e2175,23.955,0.471,0.929,6.7,0.368,4.149,3.936,3.972,3697,5.342,inactive
e2178,23.184,0.466,0.723,8.261,0.361,4.119,4.114,4.007,5160,3.684,inactive
e2179,0.272,0.467,1.051,0,0.301,3.809,3.77,3.064,124,0.492,inactive
e2181,46.462,0.491,1.363,5.673,0.286,3.901,3.926,3.736,8354,5.326,inactive
e2183,3.634,0.483,1.075,2.784,0.277,3.842,3.865,3.375,217,0.928,inactive
e2184,7.188,0.449,1.105,3.524,0.316,3.876,3.843,3.42,406,0.862,inactive
e2186,0,0.472,1.777,0,0.2,4.708,3.907,2.945,28,0,inactive
e2188,24.383,0.469,1.006,7.604,0.335,4.152,4.083,3.975,4073,3.259,inactive
e2189,152.261,0.464,1.121,6.084,0.323,4.171,3.892,3.915,43049,9.437,inactive
e2190,84.631,0.465,1.107,6.598,0.304,4.089,4.05,3.899,15785,5.838,inactive
e2191,23.954,0.459,0.946,5.338,0.31,4.071,3.892,3.956,2346,2.073,inactive
e2193,23.207,0.472,0.895,6.379,0.354,4.139,3.904,3.981,5507,5.754,inactive
e2194,19.91,0.474,0.918,5.328,0.364,4.103,3.884,3.817,2443,4.277,inactive
e2195,13.459,0.484,0.962,5.883,0.342,4.078,3.849,3.898,1419,1.856,inactive
e2646,4.683,0.49,1.67,0,0.302,3.846,3.786,3.399,184,2.082,inactive
e2198,30.308,0.488,0.804,6.879,0.376,4.165,3.952,4.114,4467,6.02,inactive
e2199,19.933,0.463,1.393,5.118,0.285,3.878,3.87,3.606,1428,1.724,inactive
e2200,161.712,0.454,1.575,5.762,0.363,3.935,3.866,3.794,27927,9.169,inactive
e2201,24.737,0.479,1.184,6.17,0.336,3.938,3.915,3.825,3169,3.628,inactive
e2202,20.25,0.478,1.177,6.275,0.352,4.11,4.002,3.572,1045,1.962,inactive
e2203,13.395,0.455,1.697,6.844,0.362,4.442,3.933,4.073,2475,3.586,inactive
e2204,27.305,0.477,1.238,6.949,0.346,3.983,3.925,3.83,3742,3.3,inactive
e2206,22.531,0.482,1.249,5.864,0.316,3.938,3.916,3.717,1213,2.139,inactive
e2207,12.839,0.47,1.204,4.883,0.339,3.91,3.894,3.763,1062,2.235,inactive
e2208,18.533,0.478,1.488,4.565,0.296,4.716,3.975,3.861,1354,2.437,inactive
