Id,Frequency of C - C at topological distance 3,Moriguchi octanol-water partition coeff. (logP),squared Moriguchi octanol-water partition coeff. (logP^2),molecular multiple path count of order 9,path/walk 3 - Randic shape index,largest eigenvalue n. 2 of Burden matrix weighted by mass,normalized leading eigenvalue from augmented edge adjacency mat. weighted by dipole moment,Balaban V index,all-path Wiener index,first Zagreb index by Madan vertex degrees,BindingClass
116,30,4.011,16.085,8.773,0.373,3.671,0.168,0.306,12304,102.104,binder
117,38,5.571,31.038,6.805,0.342,3.877,0.131,0.319,7386,146.207,binder
119,15,4.199,17.629,6.475,0.332,3.874,0.164,0.329,2584,146.776,binder
120,14,1.979,3.917,2.303,0.226,3.633,0.205,0.459,926,73.776,binder
122,27,4.122,16.995,7.855,0.38,6.89,0.166,0.259,14134,479.968,binder
123,18,4.889,23.901,3.045,0.278,3.633,0.186,0.279,2270,88.629,binder
124,51,4.386,19.233,6.182,0.373,3.832,0.128,0.217,42119,185.404,binder
125,24,3.752,14.077,3.332,0.26,3.58,0.145,0.559,2221,106.442,binder
128,25,3.486,12.154,6.516,0.331,3.911,0.195,0.333,4372,158.19,binder
129,36,3.568,12.727,8.219,0.363,3.968,0.119,0.213,58671,280.028,binder
131,36,3.809,14.505,6.881,0.351,3.997,0.109,0.145,58471,206.823,binder
133,13,4.213,17.753,6.279,0.327,3.882,0.168,0.305,3121,134.132,binder
134,26,3.547,12.583,7.01,0.352,4.126,0.179,0.264,10407,200.967,binder
137,42,3.944,15.553,7.514,0.33,3.99,0.091,0.135,87097,318.878,binder
138,53,5.7,32.487,8.003,0.367,3.982,0.083,0.114,296150,248.457,binder
139,17,3.663,13.416,6.193,0.342,3.891,0.115,0.16,20562,161.975,binder
140,56,3.317,11.005,7.773,0.347,3.985,0.079,0.125,99509,352.738,binder
142,48,3.895,15.172,7.726,0.367,3.967,0.095,0.179,81174,273.774,binder
143,28,1.656,2.744,6.026,0.31,3.935,0.117,0.159,27591,227.566,binder
145,19,3.399,11.552,6.715,0.347,3.626,0.21,0.346,3356,80.104,binder
146,22,3.583,12.835,7.787,0.356,3.645,0.191,0.342,4075,84.104,binder
147,26,2.602,6.773,7.171,0.373,3.885,0.155,0.233,14732,132.792,binder
148,54,3.812,14.528,6.678,0.391,3.854,0.14,0.251,35317,181.404,binder
149,38,4.633,21.463,7.414,0.318,3.788,0.105,0.226,8599,151.062,binder
151,21,2.966,8.795,6.102,0.326,3.941,0.179,0.236,6717,199.911,binder
152,25,2.598,6.751,7.224,0.308,3.811,0.109,0.24,10771,191.204,binder
153,31,2.823,7.97,7.301,0.354,3.883,0.103,0.151,74838,244.989,binder
156,20,3.399,11.553,5.011,0.343,3.858,0.178,0.297,3892,124.636,binder
157,17,2.74,7.505,6.075,0.337,3.943,0.175,0.273,7057,220.878,binder
158,0,-0.792,0.628,0,0,2.398,1.15,1.592,9,15.241,inactive
159,6,1.06,1.123,0,0.273,3.427,0.321,0.466,409,56.372,inactive
160,7,-0.27,0.073,0,0.339,3.368,0.347,0.56,494,68.739,inactive
167,1,2.033,4.132,0,0.214,3.349,0.66,0.737,35,29.415,inactive
169,10,2.723,7.414,0,0.308,3.374,0.26,0.457,422,50.879,inactive
172,5,1.246,1.553,0,0.308,3.123,0.318,0.54,247,43.905,inactive
174,13,-1.634,2.669,4.885,0.308,3.695,0.184,0.395,1733,110.926,inactive
184,3,1.055,1.113,0,0.332,3.233,0.288,0.507,540,50.885,inactive
201,5,0.575,0.331,0,0.271,3.156,0.447,0.586,202,37.935,inactive
209,13,3.375,11.388,6.433,0.311,3.874,0.203,0.288,4071,154.265,inactive
229,0,0.586,0.344,0,0.267,3.051,0.769,1.088,29,65.085,inactive
233,7,2.646,7,4.123,0.321,3.617,0.27,0.451,742,105.674,inactive
238,2,3.213,10.323,4.66,0.331,4.143,0.194,0.448,1335,200.874,inactive
242,7,0.836,0.7,0,0.273,3.409,0.307,0.485,510,71.388,inactive
246,2,0.18,0.032,0,0.267,2.953,0.727,1.088,29,25.963,inactive
251,0,-0.273,0.074,0,0.2,2.758,0.769,1.106,18,18.965,inactive
252,0,-0.241,0.058,0,0,2.499,0.759,1.592,9,14.109,inactive
258,10,2.723,7.414,0,0.308,3.374,0.265,0.457,422,50.879,inactive
283,1,3.659,13.388,0,0.332,4.001,0.4,0.902,121,150.353,inactive
289,7,1.834,3.365,0,0.332,3.282,0.288,0.507,540,47.721,inactive
292,9,1.947,3.789,0,0.284,3.257,0.363,0.605,306,52.104,inactive
294,18,0.992,0.984,7.092,0.357,3.807,0.163,0.278,7347,128.726,inactive
305,1,-0.923,0.853,0,0.2,2.87,1.008,1.203,28,61.604,inactive
318,3,-0.287,0.082,0,0.303,3.243,0.389,0.558,239,44.629,inactive
330,0,-1.301,1.693,0,0.305,2.965,0.601,0.966,46,34.426,inactive
344,0,1.535,2.355,0,0.251,3.668,0.235,0.775,968,131.312,inactive
349,3,0.893,0.798,0,0.284,2.978,0.336,0.612,182,38.054,inactive
351,14,3.127,9.778,5.837,0.329,3.656,0.219,0.379,1172,66.104,inactive
355,44,1.442,2.079,6.37,0.405,3.832,0.149,0.255,27609,164.519,binder
357,4,2.893,8.371,3.056,0.263,3.513,0.206,0.442,927,97.477,inactive
358,6,2.275,5.174,0.693,0.295,3.525,0.391,0.702,288,78.577,inactive
375,7,1.533,2.349,0,0.277,3.474,0.34,0.448,370,49.543,inactive
376,11,-3.898,15.194,4.234,0.399,3.724,0.169,0.341,4224,149.229,inactive
377,27,4.907,24.083,0,0.318,3.544,0.198,0.534,1511,104.104,inactive
381,13,1.622,2.632,4.7,0.311,3.73,0.213,0.277,3304,153.424,inactive
384,0,0.996,0.991,0,0.286,3.056,0.704,1.159,42,115.552,inactive
404,22,2.804,7.86,5.758,0.317,3.679,0.155,0.31,7936,124.843,inactive
405,7,1.834,3.365,0,0.284,3.306,0.34,0.507,250,39.439,inactive
409,5,0.557,0.311,1.099,0.231,3.42,0.252,0.528,220,45.196,inactive
414,0,0.996,0.991,0,0.286,3.051,0.707,1.159,42,80.892,inactive
424,15,5.687,32.341,2.565,0.235,3.606,0.189,0.425,1313,80.428,inactive
433,0,-0.317,0.101,0,0,2.499,1.468,1.592,9,32.495,inactive
439,18,3.958,15.67,6.816,0.36,3.35,0.237,0.402,2418,68,inactive
452,1,0.586,0.344,0,0.281,2.945,0.565,0.955,31,22.827,inactive
476,4,1.795,3.223,0,0.212,3.347,0.509,0.68,79,30.104,inactive
477,1,-0.226,0.051,0,0.214,2.948,0.548,0.737,35,20.879,inactive
485,4,-0.129,0.017,0,0.226,3.314,0.313,0.58,120,37.196,inactive
500,5,2.06,4.244,0,0.25,3.385,0.409,0.643,150,41.867,inactive
537,38,3.803,14.465,5.412,0.393,3.77,0.157,0.268,16523,130.207,binder
538,44,4.05,16.399,5.919,0.385,3.807,0.15,0.254,21009,140.207,binder
553,44,2.406,5.788,6.028,0.39,3.81,0.141,0.252,25472,153.75,binder
561,15,0.735,0.54,6.027,0.369,3.738,0.193,0.3,5621,117.992,inactive
564,7,1.783,3.179,2.784,0.31,3.399,0.305,0.459,497,61.971,inactive
585,39,3.827,14.642,5.927,0.394,3.793,0.169,0.254,19145,134.872,binder
590,40,-0.875,0.766,7.424,0.403,3.881,0.125,0.26,45481,207.045,inactive
599,18,3.876,15.023,7.097,0.36,3.34,0.228,0.402,2418,68,inactive
611,8,1.554,2.416,5.633,0.359,3.811,0.227,0.414,2212,134.813,inactive
636,8,2.193,4.808,0,0.322,3.066,0.334,0.597,243,44.104,inactive
640,0,-0.297,0.088,0,0.195,3.672,0.518,0.97,46,74.339,inactive
644,3,0.706,0.499,0,0.223,3.3,0.344,0.617,84,30.318,inactive
645,7,3.747,14.039,4.66,0.312,4,0.229,0.421,1529,156.241,inactive
669,8,1.579,2.494,1.609,0.302,3.614,0.391,0.468,533,80.577,inactive
670,4,2.689,7.232,0,0.301,3.896,0.363,0.551,383,153.347,inactive
676,7,2.054,4.22,4.712,0.348,3.838,0.178,0.44,1618,160.971,inactive
683,0,-0.116,0.013,0,0.2,2.57,0.908,1.106,18,23.095,inactive
688,10,3.092,9.563,4.541,0.328,3.868,0.294,0.377,1035,116.097,inactive
695,7,2.679,7.175,6.249,0.302,3.776,0.173,0.284,1667,76.468,inactive
697,5,1.246,1.553,0,0.322,3.08,0.335,0.597,243,45.131,inactive
698,38,3.599,12.953,5.829,0.393,3.794,0.171,0.268,16523,130.207,binder
703,4,-0.129,0.017,0,0.226,3.296,0.313,0.58,120,37.307,inactive
711,6,2.922,8.537,3.841,0.272,3.573,0.261,0.416,698,76.075,inactive
724,6,-1.176,1.382,4.745,0.366,3.648,0.212,0.36,2194,106.229,inactive
733,0,-0.376,0.141,0,0.378,3.612,0.364,0.6,395,99.063,inactive
759,9,5.396,29.116,1.609,0.234,3.617,0.274,0.492,364,55.471,inactive
760,6,2.193,4.808,0,0.284,3.293,0.295,0.507,250,39.721,inactive
763,6,1.393,1.941,0,0.328,3.325,0.324,0.813,130,41.543,inactive
772,0,-1.222,1.493,0,0.2,2.59,0.902,1.106,18,21.867,inactive
795,15,5.579,31.13,3.091,0.235,3.606,0.189,0.425,1313,80.428,inactive
796,0,-1.325,1.756,0,0.267,2.72,0.77,1.088,29,30.856,inactive
810,0,-0.386,0.149,0,0.2,3.07,0.955,1.106,18,29.899,inactive
814,6,-0.251,0.063,1.386,0.232,3.403,0.232,0.509,286,52.185,inactive
815,0,1.354,1.833,0,0.299,3.225,0.335,0.834,166,92.785,inactive
825,7,2.193,4.808,0,0.345,3.067,0.342,0.622,243,43.027,inactive
851,8,2.681,7.186,0,0.26,3.435,0.33,0.675,237,51.867,inactive
861,9,3.259,10.62,0,0.289,3.067,0.322,0.595,243,42,inactive
865,13,3.836,14.713,2.773,0.255,3.594,0.176,0.469,1589,97.735,inactive
887,0,-0.081,0.007,0,0.2,2.745,0.643,1.203,28,26.799,inactive
891,20,3.261,10.635,3.892,0.337,3.582,0.244,0.496,877,76.104,inactive
894,12,2.637,6.954,6.29,0.325,3.388,0.246,0.431,942,58.104,inactive
898,3,3.478,12.094,0,0.288,3.744,0.375,0.597,182,105.702,inactive
904,0,1.157,1.339,0,0.167,2.848,1.096,1.089,10,21.082,inactive
905,0,-0.643,0.413,0,0.271,4.026,0.223,0.559,1088,218.317,inactive
923,9,2.005,4.018,3.446,0.344,3.423,0.263,0.465,750,74.406,inactive
942,104,8.751,76.583,6.594,0.324,3.951,0.043,0.167,138604,483.885,inactive
955,24,7.162,51.296,5.734,0.342,6.894,0.121,0.392,6798,423.218,inactive
965,2,-0.063,0.004,0,0.309,3.034,0.417,0.655,118,34.982,inactive
978,28,5.398,29.135,6.188,0.354,3.811,0.176,0.32,2469,92,inactive
986,4,-2.192,4.806,2.708,0.381,3.53,0.219,0.501,1463,113.194,binder
988,0,0.073,0.005,0,0.267,2.914,0.7,1.088,29,25.241,inactive
989,18,2.759,7.613,4.49,0.301,3.843,0.135,0.179,5754,135.492,inactive
990,11,3.267,10.673,0,0.307,3.403,0.312,0.525,314,46,inactive
1014,0,2.251,5.066,0,0.306,4.278,0.283,0.821,376,231.441,inactive
1028,16,0.968,0.936,6.182,0.348,3.953,0.216,0.333,4526,169.447,inactive
1031,4,1.263,1.596,2.398,0.288,3.649,0.226,0.698,586,142.441,inactive
1032,3,1.893,3.584,4.808,0.297,3.833,0.177,0.403,1768,167.662,inactive
1049,20,3.071,9.433,6.152,0.338,3.824,0.168,0.295,4885,122.681,inactive
1052,4,0.517,0.268,3.611,0.314,3.878,0.227,0.614,1140,174.457,inactive
1063,14,3.884,15.086,5.973,0.348,3.918,0.145,0.256,8295,220.055,inactive
1068,17,5.184,26.877,6.396,0.296,3.886,0.181,0.239,6096,166.645,inactive
1074,6,0.439,0.193,4.925,0.3,3.831,0.223,0.292,1415,104.658,inactive
1077,5,3.089,9.54,4.447,0.309,3.987,0.24,0.402,1338,194.106,inactive
1082,42,3.923,15.392,5.829,0.396,3.802,0.159,0.265,18568,138.872,binder
1083,26,4.006,16.047,5.4,0.332,3.891,0.136,0.185,10300,160.304,inactive
1084,33,3.276,10.734,6.537,0.381,3.76,0.166,0.261,15139,122.207,binder
1095,14,4.318,18.643,6.115,0.344,3.917,0.137,0.253,10569,250.563,inactive
1102,13,2.087,4.354,5.527,0.297,3.81,0.16,0.252,4257,120.95,inactive
1116,16,0.981,0.963,6.34,0.359,3.758,0.179,0.329,4250,129.073,inactive
1128,16,3.123,9.756,6.917,0.331,3.947,0.137,0.29,6903,191.846,inactive
1142,6,0.92,0.847,6.269,0.336,3.828,0.172,0.263,3422,96.369,inactive
1143,5,2.129,4.532,0,0.258,3.384,0.349,0.667,110,34.104,inactive
1145,2,0.323,0.104,0,0.415,6.869,0.387,0.678,352,199.499,inactive
1147,14,2.861,8.186,1.946,0.292,3.455,0.263,0.507,748,74.532,inactive
1153,9,3.367,11.338,2.565,0.289,3.578,0.266,0.335,775,64.629,inactive
1156,41,4.245,18.016,5.953,0.376,3.794,0.138,0.233,26297,152.636,binder
1157,7,2.849,8.12,2.485,0.247,3.585,0.217,0.532,829,85.735,inactive
1200,10,3.105,9.639,3.498,0.28,3.493,0.232,0.4,536,53.027,inactive
1205,14,2.93,8.585,3.045,0.316,3.599,0.259,0.354,1172,66.104,inactive
1208,44,0.866,0.75,6.4,0.424,3.842,0.142,0.264,31795,185.617,binder
1209,44,3.214,10.328,5.984,0.404,3.82,0.159,0.255,23060,150.976,binder
1225,11,3.313,10.977,2.485,0.262,3.585,0.205,0.478,1044,83.41,inactive
1226,3,0.981,0.963,0,0.313,3.193,0.466,0.61,167,42.532,inactive
1229,4,-0.364,0.132,0,0.369,3.206,0.411,0.641,277,59.035,inactive
1242,12,3.253,10.583,0,0.267,3.52,0.291,0.725,341,67.196,inactive
1250,35,4.817,23.205,5.752,0.373,3.629,0.194,0.401,3401,108.104,inactive
1251,15,3.832,14.681,3.178,0.243,3.615,0.18,0.447,1444,88.532,inactive
1256,10,2.386,5.694,3.841,0.287,3.476,0.306,0.461,478,60.532,inactive
1258,7,1.518,2.304,0,0.318,3.748,0.431,0.562,480,100.169,inactive
1264,18,2.861,8.186,2.89,0.373,3.439,0.265,0.44,1392,86.532,inactive
1269,12,1.221,1.491,7.147,0.345,4.718,0.157,0.206,18435,289.835,inactive
1270,24,0.969,0.938,8.153,0.354,4.674,0.162,0.219,30040,252.6,inactive
1293,5,2.377,5.651,0,0.24,3.488,0.368,0.635,194,47.867,inactive
1296,11,2.813,7.914,0,0.332,3.37,0.284,0.531,399,54.104,inactive
1316,14,3.002,9.014,5.03,0.296,3.784,0.173,0.268,1640,71.721,inactive
1320,12,1.976,3.905,6.679,0.331,3.938,0.345,0.414,1612,114.169,inactive
1323,0,-1.155,1.334,0,0.2,2.862,1.004,1.203,28,65.034,inactive
1336,7,3.593,12.907,1.609,0.224,3.488,0.33,0.53,277,49.867,inactive
1339,9,2.51,6.299,0,0.327,3.313,0.318,0.57,314,48.104,inactive
1356,19,0.732,0.536,8.343,0.32,4.707,0.157,0.255,17436,256.152,inactive
1360,4,-0.937,0.879,0.693,0.229,3.372,0.279,0.552,165,41.145,inactive
1371,15,5.56,30.911,2.833,0.231,3.685,0.228,0.413,1966,133.698,inactive
1375,23,7.426,55.153,3.045,0.263,3.65,0.136,0.42,3333,115.867,inactive
1378,17,1.694,2.869,6.641,0.336,3.831,0.144,0.222,9904,135.467,inactive
1381,33,2.493,6.214,6.255,0.36,3.906,0.115,0.177,22722,176.794,inactive
1383,13,2.175,4.73,5.482,0.362,3.658,0.22,0.368,2609,127.013,inactive
1384,40,4.006,16.051,6.59,0.349,3.881,0.129,0.222,19388,217.389,inactive
1387,18,2.058,4.235,6.688,0.344,3.871,0.14,0.226,11533,230.784,inactive
1388,15,1.383,1.913,6.583,0.343,3.871,0.157,0.212,10157,205.199,inactive
1403,19,0.07,0.005,7.883,0.357,3.987,0.121,0.237,25086,210.274,inactive
1425,18,4.407,19.418,7.061,0.358,3.929,0.207,0.243,11981,162.964,inactive
1433,27,3.453,11.925,6.156,0.319,3.94,0.124,0.189,16132,168.754,inactive
1436,32,3.737,13.967,7.201,0.344,3.892,0.112,0.156,27224,169.361,binder
1444,47,1.925,3.707,6.465,0.387,4.063,0.126,0.237,44180,243.666,binder
1462,13,4.158,17.292,4.395,0.283,3.768,0.287,0.324,1608,122.169,inactive
1465,17,6.039,36.473,3.178,0.25,3.619,0.175,0.42,1720,89.867,inactive
1470,18,2.998,8.985,3.367,0.309,3.522,0.262,0.489,761,70.104,inactive
1475,21,3.348,11.207,7.589,0.342,4.019,0.174,0.242,9759,173.195,inactive
1488,11,3.83,14.671,0,0.3,3.573,0.343,0.531,383,66.811,inactive
1493,9,2.723,7.414,0,0.322,3.478,0.336,0.51,379,52.104,inactive
1497,6,3.227,10.412,5.03,0.292,3.786,0.187,0.3,1904,129.518,inactive
1501,9,2.654,7.044,2.784,0.31,3.412,0.305,0.459,497,59.867,inactive
1504,17,2.784,7.749,6.191,0.323,4.021,0.179,0.254,4755,180.18,inactive
1507,21,2.132,4.547,6.177,0.326,3.943,0.173,0.235,7481,208.015,inactive
1525,33,3.635,13.211,6.354,0.381,3.795,0.16,0.261,15139,122.207,binder
1526,16,4.803,23.069,3.555,0.254,3.622,0.184,0.423,1506,85.203,binder
1527,20,3.116,9.71,6.83,0.342,3.82,0.173,0.299,6500,130.056,binder
1528,13,3.45,11.905,4.262,0.308,3.654,0.203,0.359,1374,87.971,binder
1529,82,-9.787,95.776,8.302,0.367,3.926,0.029,0.093,1596253,779.675,binder
1530,33,3.695,13.653,6.998,0.345,3.756,0.165,0.277,4717,128.311,binder
1532,16,2.419,5.85,5.837,0.287,3.644,0.204,0.453,2202,150.384,binder
1533,37,3.456,11.942,8.024,0.334,4.129,0.079,0.145,89046,311.625,binder
1648,53,4.671,21.814,6.768,0.385,3.939,0.128,0.194,115170,191.3,binder
1649,28,3.004,9.025,7.06,0.373,3.901,0.132,0.245,18295,221.832,binder
1650,39,3.779,14.284,5.497,0.396,3.773,0.159,0.265,18568,142.636,binder
1651,38,3.696,13.659,5.753,0.393,3.782,0.161,0.268,16523,130.207,binder
1652,44,1.728,2.987,6.12,0.419,3.825,0.145,0.263,29317,177.513,binder
1653,40,4.031,16.247,5.497,0.399,3.785,0.153,0.264,18512,136.207,binder
1654,44,5.025,25.25,6.142,0.352,3.842,0.112,0.162,59408,176.636,binder
1655,42,3.2,10.237,5.93,0.414,3.803,0.159,0.28,21832,159.97,binder
1656,46,4.154,17.257,6.72,0.407,3.885,0.145,0.222,45093,161.699,binder
1658,38,3.599,12.953,6.023,0.393,3.792,0.165,0.268,16523,130.207,binder
1659,45,4.146,17.191,5.889,0.397,3.802,0.153,0.27,20359,144.872,binder
1660,37,3.509,12.311,6.609,0.385,3.78,0.169,0.259,17048,130.872,binder
1662,43,6.394,40.883,5.943,0.335,3.781,0.112,0.167,46995,172.636,binder
