Id,Centred Broto-Moreau autocorrelation of lag 7 weighted by mass,eta average core count,Geary autocorrelation of lag 1 weighted by polarizability,molecular multiple path count of order 9,path/walk 3 - Randic shape index,largest eigenvalue n. 1 of Burden matrix weighted by mass,largest eigenvalue n. 1 of Burden matrix weighted by polarizability,largest eigenvalue n. 2 of Burden matrix weighted by mass,Wiener-like index from detour matrix (detour index),valence connectivity index of order 4,AntagonistClass
201,0,0.467,1.404,0,0.271,3.708,3.673,3.156,142,0.904,inactive
221,6.001,0.436,1.645,0,0.228,3.665,3.539,3.409,184,0.526,inactive
229,0,0.516,0.524,0,0.267,4.057,3.378,3.051,29,0,inactive
233,10.288,0.495,0.802,4.123,0.321,4.089,3.851,3.617,474,1.265,inactive
243,0,0.5,2.363,0,0.281,4.374,3.818,2.912,31,0.25,inactive
244,0,0.5,2.078,0,0.302,4.44,3.932,2.912,44,0.224,inactive
322,1.241,0.442,1.03,0,0.34,3.957,3.85,3.507,320,0.835,inactive
332,0,0.448,1.858,0,0.321,3.569,3.453,3.04,48,0.339,inactive
333,0,0.427,2.187,0,0.2,3.457,3.246,2.68,18,0,inactive
341,6.157,0.57,0.58,0,0.403,4.295,3.896,3.744,388,2.039,inactive
352,4.737,0.508,0.375,0,0.372,4.177,3.823,3.688,386,1.262,inactive
354,27.918,0.465,1.521,5.131,0.296,3.951,3.91,3.57,2713,2.531,inactive
361,6.464,0.497,0.817,0,0.292,3.982,3.724,3.526,268,1.155,inactive
366,16.617,0.476,1.278,7.919,0.344,4.735,4.141,4.718,4332,4.36,inactive
371,4.275,0.472,1.136,3.933,0.325,3.92,3.88,3.424,471,1.235,inactive
378,1.192,0.444,1.424,4.627,0.396,3.974,3.776,3.436,562,1.269,inactive
382,1.273,0.459,1.055,4.722,0.312,3.903,3.871,3.383,410,0.89,inactive
392,1.387,0.5,1.111,0,0.322,3.884,3.904,3.139,162,0.891,inactive
413,9.044,0.472,1.523,1.609,0.224,3.655,3.686,3.505,277,1.233,inactive
428,0.52,0.452,1.547,0,0.209,3.589,3.572,3.21,52,0.328,inactive
448,4.127,0.491,1.29,0,0.334,3.852,3.841,3.416,254,1.228,inactive
469,0,0.512,0.961,0,0.167,3.766,3.325,2.859,10,0,inactive
483,3.512,0.479,1.61,0,0.223,3.596,3.64,3.317,84,0.715,inactive
490,32.487,0.476,1.402,5.237,0.289,3.918,3.883,3.624,3508,3.089,inactive
497,6.029,0.492,0.87,5.614,0.297,3.89,3.879,3.729,504,1.21,inactive
503,3.542,0.487,0.827,7.233,0.35,4.161,4.109,3.595,815,1.675,inactive
504,10.168,0.481,1.283,3.726,0.344,3.897,3.885,3.544,453,1.471,inactive
517,8.36,0.472,1.504,2.197,0.277,3.764,3.72,3.52,323,1.585,inactive
541,9.434,0.471,0.95,5.981,0.344,3.949,3.922,3.757,900,1.575,inactive
545,6.024,0.472,1.129,2.409,0.327,3.887,3.867,3.378,332,0.99,inactive
548,23.099,0.468,0.934,6.209,0.321,3.969,3.975,3.756,1338,2.471,inactive
569,17.034,0.463,1.263,4.582,0.269,3.878,3.864,3.605,1082,1.528,inactive
577,140.293,0.456,1.551,5.565,0.379,3.926,3.861,3.79,18276,8.41,inactive
578,0.824,0.463,1.114,0,0.333,3.838,3.809,3.063,166,0.63,inactive
586,8.678,0.487,1.183,0,0.346,3.919,3.921,3.428,396,1.512,inactive
614,22.895,0.471,2.109,0,0.329,4.435,3.847,3.656,400,1.358,inactive
634,0,0.452,2.399,0,0.302,4.698,3.771,2.912,44,0.204,inactive
647,21.279,0.462,0.951,6.916,0.337,3.997,3.968,3.843,2377,2.599,inactive
662,0,0.557,1.362,0,0.302,4.606,3.976,3.21,44,0.671,inactive
664,11.801,0.481,1.028,4.109,0.286,4.008,3.866,3.585,608,1.407,inactive
670,0,0.569,0.55,0,0.301,4.282,3.803,3.896,252,1.046,inactive
685,8.847,0.484,1.166,2.409,0.337,4.237,3.843,3.541,499,1.771,inactive
693,0,0.508,1.074,0,0.283,3.929,3.677,3.235,67,0.402,inactive
719,5.795,0.485,1.348,0,0.24,3.716,3.738,3.516,194,0.788,inactive
729,0,0.813,0.512,0,0.2,7.077,3.505,6.652,18,0,inactive
733,0,0.466,1.053,0,0.378,4.006,3.474,3.612,260,0.715,inactive
764,5.394,0.467,1.529,0,0.297,3.694,3.688,3.349,134,0.953,inactive
768,0.462,0.5,1.061,0,0.354,3.931,3.959,3.242,187,1.987,inactive
783,4.376,0.461,1.066,2.151,0.342,3.879,3.852,3.308,264,0.793,inactive
787,3.833,0.455,1.098,2.151,0.342,3.873,3.842,3.308,264,0.756,inactive
795,19.943,0.483,1.456,3.091,0.235,3.703,3.744,3.606,1313,2.347,inactive
807,0,0.524,0.569,5.418,0.402,4.276,3.954,3.701,775,2.208,inactive
815,12.72,0.485,2.175,0,0.299,4.435,3.842,3.225,166,1.758,inactive
816,1.196,0.44,0.867,5.388,0.355,3.982,3.923,3.471,658,1.218,inactive
821,38.196,0.549,1.437,0,0.258,4.034,3.549,3.754,300,1.938,inactive
825,0,0.489,0.992,0,0.345,3.88,3.883,3.067,164,0.827,inactive
833,0,0.5,1.204,0,0.386,3.971,3.999,3.253,236,2.541,inactive
853,8.616,0.479,1.1,4.722,0.294,3.845,3.83,3.796,856,1.352,inactive
861,0,0.5,1.111,0,0.289,3.882,3.903,3.067,162,1.202,inactive
901,15.281,0.5,1.563,2.079,0.237,3.677,3.729,3.569,680,2.268,inactive
907,2.383,0.5,1.25,0,0.307,3.827,3.857,3.383,204,1.304,inactive
915,6.414,0.47,1.2,3.446,0.263,3.825,3.815,3.454,270,0.734,inactive
916,22.093,0.511,1.954,0,0.305,4.136,4.36,3.346,320,3.959,inactive
931,14.843,0.463,1.343,4.043,0.315,3.913,3.862,3.855,1232,3.352,inactive
939,0,0.578,0.512,0,0.3,4.283,3.882,3.919,248,1.143,inactive
945,1.232,0.489,1.636,0,0.267,3.756,3.68,3.303,96,0.865,inactive
959,7.816,0.544,0.736,5.859,0.312,6.88,3.886,3.883,710,1.666,inactive
967,1.192,0.426,1.922,0,0.288,3.635,3.447,3.23,100,0.262,inactive
969,6.811,0.479,0.983,5.211,0.311,3.881,3.87,3.801,808,1.381,inactive
970,0,0.472,1.297,0,0.277,3.737,3.727,2.782,54,0.769,inactive
974,0,0.613,0.812,0,0.2,4.057,3.502,3.006,18,0,inactive
980,27.011,0.49,1.263,0,0.329,3.971,3.973,3.541,730,2.042,inactive
995,5.364,0.463,1.758,0,0.258,3.581,3.549,3.372,110,0.482,inactive
1002,21.047,0.47,1.371,5.16,0.299,3.916,3.881,3.552,1727,2.028,inactive
1004,3.699,0.358,1.526,3.332,0.44,3.977,3.675,3.82,2250,1.495,inactive
1016,14.627,0.468,1.054,6.389,0.319,4.007,3.84,3.841,2193,1.802,inactive
1021,0,0.533,0.555,0,0.353,4.102,3.878,3.582,214,1.087,inactive
1034,24.717,0.479,1.126,5.686,0.323,4.003,3.845,3.862,1146,1.818,inactive
1042,13.311,0.457,1.41,4.722,0.308,3.889,3.804,3.523,901,1.182,inactive
1074,6.527,0.484,0.864,4.925,0.3,4.184,3.83,3.831,655,1.433,inactive
1098,15.779,0.444,1.411,7.247,0.34,3.953,3.858,3.815,4638,2.366,inactive
1106,2.836,0.545,0.626,0,0.324,6.88,3.861,3.859,256,1.048,inactive
1119,23.885,0.514,1.357,4.047,0.325,4.707,4.029,4.027,799,3.387,inactive
1133,33.855,0.535,1.233,2.197,0.34,4.638,4.049,3.924,562,7.613,inactive
1136,15.544,0.475,0.989,5.278,0.312,4.319,3.856,3.831,1074,2.512,inactive
1137,3.016,0.485,1.118,0,0.326,3.896,3.898,3.359,260,1.142,inactive
1141,10.969,0.488,1.268,3.611,0.309,3.877,3.901,3.526,497,2.215,inactive
1173,7.152,0.469,0.908,6.019,0.311,3.909,3.876,3.762,822,1.317,inactive
1180,6.539,0.621,1.675,0,0.294,4.296,4.638,3.921,156,6.852,inactive
1207,18.834,0.463,1.337,5.019,0.297,3.917,3.881,3.508,943,1.394,inactive
1209,29.308,0.479,1.157,5.984,0.404,4.033,4.044,3.82,3942,7.154,inactive
1229,0,0.447,1.39,0,0.369,3.832,3.699,3.206,181,0.829,inactive
1246,6.995,0.485,1.448,1.946,0.231,3.663,3.697,3.472,220,0.912,inactive
1252,7.175,0.47,1.67,0.693,0.25,3.636,3.6,3.469,202,0.814,inactive
1254,32.227,0.46,1.446,4.043,0.301,3.843,3.741,3.683,3732,3.352,inactive
1268,34.058,0.466,1.316,8.383,0.331,4.742,4.166,4.707,5746,4.207,inactive
1270,15.439,0.474,1.257,8.153,0.354,4.77,4.175,4.674,4695,4.61,inactive
1272,37.893,0.476,1.273,8.084,0.318,4.734,4.096,4.715,11428,5.262,inactive
1274,21.187,0.483,1.152,6.813,0.314,4.12,3.999,3.663,2334,2.58,inactive
1275,0,0.483,1.419,0,0.284,3.813,3.837,3.243,203,2.296,inactive
1279,8.673,0.476,1.259,3.841,0.267,3.862,3.874,3.586,453,1.513,inactive
1292,0,0.5,0.84,0,0.332,3.944,3.963,3.276,248,1.196,inactive
1294,0,0.485,1.281,0,0.425,3.973,3.99,3.094,288,3.162,inactive
1307,19.704,0.494,1.635,2.398,0.247,3.691,3.71,3.58,905,2.436,inactive
1326,12.619,0.481,1.142,7.151,0.333,4.736,4.07,3.989,1902,2.836,inactive
1328,16.032,0.468,1.223,6.448,0.343,4.724,4.05,3.906,1452,2.5,inactive
1331,5.277,0.525,2.025,0,0.373,4.124,4.356,3.225,121,2.587,inactive
1336,9.044,0.472,1.653,1.609,0.224,3.637,3.663,3.488,277,1.098,inactive
1345,27.312,0.491,1.177,5.307,0.341,4.032,4.041,3.594,1150,2.864,inactive
1362,22.695,0.468,1.623,2.708,0.256,3.698,3.687,3.601,1400,1.874,inactive
1387,41.202,0.461,1.22,6.688,0.344,4.744,4.088,3.871,3942,5.652,inactive
1400,12.746,0.468,1.154,6.233,0.351,4.054,3.964,3.854,1796,3.363,inactive
1423,29.64,0.474,1.205,5.646,0.307,3.93,3.887,3.861,3911,3.769,inactive
1436,26.323,0.475,0.965,7.201,0.344,3.978,3.942,3.892,4486,3.757,inactive
1466,3.971,0.526,0.652,7.233,0.35,4.396,4.202,3.595,815,2.781,inactive
1490,6.807,0.478,1.207,3.498,0.28,3.848,3.824,3.475,340,0.898,inactive
1500,6.162,0.478,0.945,5.433,0.312,3.888,3.864,3.772,682,1.229,inactive
1511,7.248,0.5,1.208,4.111,0.25,3.727,3.766,3.455,576,1.284,inactive
1517,32.141,0.481,1.124,6.329,0.319,3.979,3.973,3.885,2838,3.095,inactive
1523,21.933,0.473,1.189,4.261,0.276,3.99,3.812,3.812,1423,2.378,inactive
1648,35.581,0.481,1.079,6.768,0.385,4.141,4.15,3.939,5874,9.449,antagonist
1649,30.888,0.461,0.909,7.06,0.373,4.107,3.948,3.901,4369,3.943,antagonist
