Id,Centred Broto-Moreau autocorrelation of lag 7 weighted by mass,CATS2D Lipophilic-Lipophilic at lag 03,CATS2D Lipophilic-Lipophilic at lag 06,Frequency of C - C at topological distance 3,Information Content index (neighborhood symmetry of 2-order),mean information content on the distance degree equality,Balaban-like index from distance/detour matrix,Balaban-like index from Barysz matrix weighted by mass,path/walk 5 - Randic shape index,ring perimeter,AgonistClass
e90,33.388,7,9,26,3.973,4.054,11.1502,1.6731,0.1,18,agonist
e91,63.859,20,19,51,5.036,4.76,22.6826,1.8904,0.119,17,agonist
e92,4.959,5,6,14,3.79,4.107,11.6701,2.123,0.093,17,agonist
e93,31.493,40,15,45,4.518,4.168,21.5918,1.7494,0.12,17,agonist
e94,28.508,37,14,42,4.176,4.252,20.7445,1.6573,0.11,17,agonist
e95,37.585,34,12,46,4.793,4.522,20.6275,1.7092,0.105,17,agonist
e96,38.673,36,18,44,4.138,4.522,20.0356,1.5475,0.109,17,agonist
e97,61.273,25,22,52,4.718,4.923,22.8929,1.9181,0.123,17,agonist
e99,40.817,30,14,41,3.782,4.64,17.8583,1.2753,0.1,22,agonist
e100,29.872,35,10,42,3.837,4.085,22.9384,1.5237,0.105,20,agonist
e101,83.887,4,0,36,4.683,5.384,21.5481,2.4292,0.1,14,agonist
e102,40.329,37,17,46,4.358,4.681,20.7283,1.6987,0.121,17,agonist
e103,51.381,24,17,51,4.887,4.911,22.2559,1.6911,0.117,17,agonist
e104,64.663,28,19,51,4.618,5.129,21.3895,1.783,0.112,17,agonist
e105,36.31,35,15,44,4.557,4.324,21.8577,1.8296,0.11,17,agonist
e106,16.746,5,7,15,4.484,4.096,12.4236,2.6755,0.092,11,agonist
e107,42.681,38,22,47,4.231,4.64,19.5222,1.5482,0.107,17,agonist
e108,71.287,25,22,54,4.789,5.047,22.7243,1.8887,0.115,17,agonist
e109,36.326,32,16,40,4.292,4.522,19.1088,1.4872,0.105,17,agonist
e110,43.274,28,12,46,4.779,4.651,21.3275,1.7023,0.111,17,agonist
e111,37.331,29,18,39,4.373,4.45,19.5997,1.6191,0.106,17,agonist
e112,41.48,41,18,49,4.459,4.632,18.1308,1.3192,0.109,23,agonist
e113,43.916,25,14,49,5.136,4.632,22.542,1.8231,0.112,17,agonist
e114,49.014,26,13,49,4.941,4.632,22.4045,1.7892,0.117,17,agonist
e116,19.781,29,8,33,4.164,3.722,20.8868,1.6419,0.11,17,agonist
e117,74.211,31,21,53,4.733,4.948,22.7363,1.8964,0.118,17,agonist
e118,35.046,25,11,44,4.591,4.287,22.663,1.847,0.11,17,agonist
e119,28.442,32,13,37,4.229,4.096,20.9164,1.6316,0.118,17,agonist
e120,38.481,36,16,44,4.486,4.574,17.6242,1.2916,0.108,23,agonist
e121,69.716,25,20,53,4.733,4.948,22.7363,1.8912,0.118,17,agonist
e122,25.15,35,14,40,4.589,4.176,20.695,1.8006,0.113,17,agonist
e123,32.608,35,14,43,4.458,4.484,20.5644,1.6909,0.118,17,agonist
e124,47.094,29,9,39,4.873,4.658,19.1594,1.6539,0.108,17,agonist
e125,50.157,0,2,20,5.187,5.101,15.6298,2.0365,0.099,13,agonist
e126,44.203,25,13,47,4.793,4.423,22.9912,1.8796,0.115,17,agonist
e127,35.132,39,15,47,4.341,4.324,21.8577,1.7463,0.11,17,agonist
e128,59.521,0,0,18,3.565,4.514,15.565,2.0528,0.104,18,agonist
e129,44.694,28,12,47,4.949,4.681,20.5681,1.5952,0.106,17,agonist
e130,61.31,0,0,15,4.559,3.984,39,6.4815,0.071,0,agonist
e131,26.927,38,12,42,3.721,3.914,21.4828,1.6592,0.107,17,agonist
e132,30.396,29,14,36,4.441,4.137,20.1597,1.6591,0.113,17,agonist
e133,55.455,22,13,49,4.656,4.879,22.6886,1.788,0.104,17,agonist
e134,47.591,28,12,47,4.79,4.681,20.5681,1.5882,0.106,17,agonist
e135,50.832,31,15,50,4.98,4.852,21.1242,1.6252,0.109,17,agonist
e136,35.582,30,12,47,4.74,4.681,22.3446,1.8101,0.118,17,agonist
e137,42.294,25,12,47,4.788,4.423,22.9912,1.8706,0.115,17,agonist
e138,4.77,4,0,8,3.654,3.239,10.2864,3.0292,0.079,6,agonist
e139,19.303,9,9,12,2.924,3.616,18,3.1847,0.05,0,agonist
e141,0,2,0,5,3.156,2.66,13.3512,4.1864,0.092,6,agonist
e142,0,0,0,0,0.907,0.722,4,6.6997,0,0,agonist
e143,0.806,1,0,5,3.203,3.122,12.7302,2.8157,0.087,9,agonist
e144,1.998,4,1,4,2.024,1.95,6,2.4475,0.043,0,agonist
e145,2.323,0,0,4,3.618,2.948,8,3.8891,0.033,0,agonist
e146,7.897,12,7,23,3.555,3.572,19.2112,2.4067,0.12,14,agonist
e147,10.235,5,2,20,3.999,3.735,14.4975,2.6087,0.092,10,agonist
e148,8.653,6,4,14,3.249,3.852,11.1834,2.4622,0.091,12,agonist
e150,4.028,17,1,19,3.378,3.664,17.4489,2.288,0.116,13,agonist
e151,6.792,8,4,10,2.806,1.99,9.5063,2.6359,0.073,15,agonist
e152,64.231,26,20,53,4.812,5.029,22.7556,1.8749,0.124,17,agonist
e153,0.611,1,0,6,3.326,3.17,8.9209,3.1789,0.063,6,agonist
e154,15.468,29,8,33,4.546,3.722,20.8868,1.7878,0.11,17,agonist
e155,34.757,26,10,44,4.704,4.393,21.9128,1.7561,0.125,17,agonist
e157,41.395,36,19,43,3.949,4.47,20.9553,1.6179,0.112,17,agonist
e158,31.399,38,12,44,4.03,4.085,22.9384,1.5161,0.105,20,agonist
e159,6.476,6,7,18,3.522,3.614,14.3155,2.2361,0.104,16,agonist
e160,9.667,7,1,18,4.418,3.642,18.2639,2.3201,0.118,14,agonist
e161,7.361,5,4,18,3.848,3.722,14.7454,2.3024,0.105,16,agonist
e162,9.312,6,7,20,3.64,3.827,14.5022,2.2395,0.111,16,agonist
e163,7.047,7,7,18,3.611,3.308,14.0532,2.218,0.108,16,agonist
e164,7.626,3,3,18,3.935,4.297,14.6867,2.257,0.101,16,agonist
e165,6.866,8,8,18,3.638,3.503,14.0304,2.2002,0.112,16,agonist
e166,7.902,4,5,20,4.127,4.071,14.3351,2.1927,0.101,16,agonist
e167,9.635,5,4,21,4.127,3.654,14.6268,2.2093,0.108,16,agonist
e168,19.667,12,4,19,3.759,3.735,11.3924,2.3729,0.088,6,inactive
e169,1.035,3,0,9,3.414,3.278,14.3087,3.0648,0.094,10,inactive
e170,21.273,9,8,28,4.741,3.914,14.072,1.7376,0.118,16,inactive
e172,5.274,5,0,8,3.551,2.459,9.3598,2.6465,0.072,6,inactive
e173,19.268,6,4,26,4.012,3.78,14.6363,1.695,0.106,20,inactive
e174,0.747,0,0,1,3,1.922,9,4.7043,0.032,0,inactive
e175,1.547,0,0,2,3.375,2.722,9,3.7928,0.047,0,inactive
e176,34.294,6,8,28,3.966,4.253,16.7057,1.7457,0.104,20,inactive
e177,32.559,9,9,34,4.888,4.364,23.1536,1.5861,0.122,21,inactive
e178,5.072,1,0,8,4.137,3.085,10.8425,3.4534,0.086,6,inactive
e179,2.929,2,0,5,3.522,2.873,10.1748,3.975,0.06,6,inactive
e180,26.48,14,12,26,3.321,3.369,10.9132,1.89,0.099,18,inactive
e181,42.99,22,7,39,3.685,4.196,11.4165,1.5252,0.098,24,inactive
e182,6.088,1,2,8,3.835,2.896,12.0778,2.3497,0.094,9,inactive
e183,25.509,20,8,25,4.025,4.297,17.6545,2.3143,0.112,14,inactive
e184,20.762,31,9,34,3.737,3.63,18.8009,2.1306,0.106,15,inactive
e185,20.961,11,11,22,4.197,4.005,14.1379,2.3234,0.111,15,inactive
e186,0,0,0,2,3.499,2.25,7.4138,2.5313,0.04,5,inactive
e187,25.162,14,10,32,3.814,3.607,18.354,2.1643,0.113,14,inactive
e188,14.316,5,1,19,4.336,4.002,12.1224,1.8872,0.106,13,inactive
e189,0,0,0,0,3.239,1.906,7,6.1816,0,0,inactive
e190,27.42,6,13,21,3.839,3.559,16.6115,1.9504,0.113,19,inactive
e191,21.063,31,9,33,3.79,3.422,19.0069,2.1327,0.114,15,inactive
e192,35.099,9,16,24,4.172,4.089,17.9742,2.2565,0.11,14,inactive
e193,12.247,9,0,14,4.173,3.5,13.2148,2.0187,0.094,15,inactive
e194,36.359,7,8,28,4.37,4.393,17.2383,1.9265,0.106,20,inactive
e195,22.551,7,4,13,4.237,3.97,14.9081,2.5945,0.093,16,inactive
e197,36.631,7,9,28,4.296,4.651,14.7016,1.3943,0.115,25,inactive
e198,29.515,3,1,26,4.187,4.548,13.0796,1.2339,0.111,24,inactive
e199,2.755,4,5,11,3.796,3.837,10.9585,2.1768,0.095,17,inactive
e200,16.659,7,18,20,3.46,3.278,11.6503,2.1319,0.107,17,inactive
e201,21.016,10,10,36,4.408,4.369,23.9773,1.9644,0.144,17,inactive
e202,16.241,0,3,11,4.094,3.808,12.1491,2.9363,0.079,6,inactive
e203,28.593,5,5,21,3.889,4.278,18.5981,2.0838,0.121,21,inactive
e204,0,0,0,2,2.931,2.236,7.8978,3.2077,0.062,6,inactive
e205,23.848,8,1,13,3.8,3.617,11.4665,2.9059,0.077,6,inactive
e206,23.269,6,0,13,3.994,3.664,11.5085,2.5858,0.076,12,inactive
e207,0,9,0,12,2.52,2.163,13.2043,1.9559,0.106,6,inactive
e208,23.986,16,13,19,4.127,4.085,25,3.5333,0.062,0,inactive
e209,0.41,0,0,1,3.5,2.236,6,2.9718,0.044,0,inactive
e210,23.642,18,12,25,3.912,4.085,15.8095,2.3248,0.074,6,inactive
e211,8.37,6,6,16,3.823,3.107,18.2736,2.4439,0.115,14,inactive
e212,9.394,0,0,4,4.31,3.75,13.3836,2.566,0.099,9,inactive
e213,13.894,0,0,2,3.81,2.689,11,4.4608,0.044,0,inactive
e214,6.508,0,0,1,3.787,2.507,9.6905,4.8186,0.068,5,inactive
e215,3.546,0,0,6,3.939,3.278,9.4828,2.7833,0.078,6,inactive
e4148,1.294,2,0,5,3.499,1.555,10.1243,3.4347,0.08,6,inactive
e217,4.142,1,0,3,3.482,2.503,8,2.9129,0.045,0,inactive
e218,0,0,0,1,3.807,2.922,13.018,3.2861,0.079,9,inactive
e219,37.715,12,15,33,4.514,4.503,15.2285,2.0317,0.099,15,inactive
e220,18.957,6,1,14,4.491,3.614,12.824,2.697,0.088,6,inactive
e221,15.09,0,0,0,1.868,1.922,11.9846,3.725,0.1,6,inactive
e222,9.286,2,4,11,4.073,3.625,10.3673,2.3424,0.078,11,inactive
e223,27.658,5,6,19,3.903,4.011,11.011,2.1233,0.092,12,inactive
e224,34.664,2,9,16,4.488,4.134,14.503,3.0519,0.105,12,inactive
e225,44.104,5,9,24,4.164,4.134,11.1585,1.891,0.087,17,inactive
e226,12.857,8,1,11,4.008,3.039,10.368,2.9047,0.092,6,inactive
e227,22.141,4,4,15,4.515,3.971,10.2025,1.7631,0.072,9,inactive
e228,28.75,4,3,24,3.916,3.852,10.8718,1.2462,0.093,23,inactive
e229,13.235,4,2,10,4.073,3.337,12.3088,3.1101,0.101,12,inactive
e230,30.698,13,19,28,3.876,3.918,11.3425,1.7158,0.103,19,inactive
e231,11.669,6,0,14,4.188,3.5,9.3468,1.8691,0.074,14,inactive
e232,18.159,7,5,17,4.09,3.616,12.5225,2.7326,0.087,6,inactive
e233,13.965,0,0,2,3.44,3.085,11,4.5653,0.071,0,inactive
e234,24.373,6,10,20,4.23,4.31,12.4159,1.3209,0.1,21,inactive
e235,8.468,0,0,6,3.313,3.807,14.3858,2.9704,0.097,9,inactive
e236,14.984,4,3,18,4.169,4.392,14.657,2.1862,0.106,16,inactive
e237,13.442,4,0,5,4.148,3.617,11.5437,3.8966,0.078,6,inactive
e238,0,2,0,5,3.59,2.914,12.8251,2.8784,0.1,9,inactive
e239,15.818,0,0,6,4.514,3.735,10.969,2.7604,0.061,5,inactive
e240,5.499,2,0,5,4.002,3.41,15.4326,4.2214,0.088,10,inactive
e241,23.872,5,7,21,4.077,3.915,13.1793,1.8467,0.101,20,inactive
e242,35.506,17,8,34,3.43,3.807,10.8895,1.4813,0.103,24,inactive
e243,11.402,2,0,11,3.316,3.393,10.403,2.3677,0.096,12,inactive
e244,27.314,33,11,39,3.734,3.641,18.5422,1.9822,0.123,21,inactive
e245,8.081,6,0,8,3.828,3.085,9.8934,2.7696,0.075,6,inactive
e247,24.023,6,6,22,4.392,4.214,12.5623,1.5418,0.093,16,inactive
e248,26.223,7,8,20,3.943,4.297,17.6545,2.2714,0.112,14,inactive
e249,13.56,1,0,14,4.349,4.037,17.4669,2.3972,0.113,13,inactive
e250,19.851,2,2,8,3.749,3.837,17,4.8411,0.072,0,inactive
e251,12.459,4,0,10,3.968,3.293,11.3015,2.5976,0.071,6,inactive
e252,21.451,4,6,11,4.672,4.137,14.0583,2.2802,0.097,16,inactive
e253,20.415,9,8,19,4.171,4.187,11.4446,1.7667,0.082,12,inactive
e254,21.048,10,8,19,3.316,2.945,10.94,2.3122,0.092,12,inactive
e255,40.907,11,18,41,3.828,3.852,14.7597,1.1898,0.106,20,inactive
e256,21.361,11,9,26,3.851,3.422,19.0069,2.1203,0.114,15,inactive
e257,21.315,17,9,29,4.023,3.63,18.8009,2.1347,0.106,15,inactive
e258,34.33,0,0,18,3.139,2.843,26,5.3892,0.075,0,inactive
e259,5.215,2,0,6,3.844,2.985,14.9709,3.7981,0.106,10,inactive
e260,14.341,1,2,13,3.923,2.983,11.8445,3.24,0.078,6,inactive
e261,10.552,4,2,13,4.116,3.41,10.7157,2.4392,0.088,11,inactive
e262,5.268,1,1,12,3.655,3.252,9.9293,3.2874,0.074,6,inactive
e263,4.438,4,9,12,2.958,3.625,13.2246,2.5684,0.109,15,inactive
e264,23.636,0,0,16,3.524,2.777,25,4.4218,0.071,0,inactive
e265,45.637,20,8,41,4.149,4.215,11.6247,1.2742,0.105,29,inactive
e266,12.239,0,0,10,4.518,3.827,13.6554,2.2779,0.102,14,inactive
e267,19.671,7,10,18,3.902,3.538,11.6799,2.3457,0.088,12,inactive
e268,14.02,5,0,11,3.523,2.558,11.4379,2.9384,0.087,6,inactive
e269,36.182,6,8,30,4.027,4.015,16.5608,1.6481,0.103,20,inactive
e270,19.176,2,0,20,4.663,4.096,19.1016,2.4084,0.114,14,inactive
e271,7.164,4,1,9,4.056,3.027,10.024,2.7583,0.079,6,inactive
e1983,9.928,15,0,19,3.735,3.5,13.2148,2.0713,0.094,15,inactive
e273,23.095,12,4,25,4.26,3.821,16.378,2.2278,0.11,17,inactive
e274,21.062,0,1,3,4.343,3.784,12.4575,3.2404,0.059,5,inactive
e275,33.78,6,0,19,4.707,4.503,11.9085,1.7609,0.082,18,inactive
e276,3.239,5,0,10,3.273,2.918,9.6604,2.5923,0.082,6,inactive
e277,5.634,7,0,8,3.97,3.19,11.6443,3.0754,0.075,6,inactive
e278,13.043,0,0,5,4.374,3.684,13.5321,2.5117,0.087,9,inactive
e279,3.057,3,0,8,3.622,2.855,14.2273,3.0045,0.103,10,inactive
e280,9.745,4,5,16,4.174,3.25,18.6041,2.4632,0.113,14,inactive
e281,0.424,0,0,2,3.735,2.156,7.3192,2.6455,0.052,5,inactive
e282,4.323,2,0,7,3.698,3.278,9.642,2.9781,0.082,6,inactive
e283,6.945,5,0,14,4.374,3.197,10.1819,1.9557,0.087,17,inactive
e284,11.179,1,4,10,4.054,3.774,11.0895,2.8036,0.081,6,inactive
e285,5.934,1,0,10,4.014,3.323,13.0649,2.0721,0.093,15,inactive
e286,22.558,11,9,27,3.769,3.63,18.8009,2.0739,0.106,15,inactive
e287,13.376,1,1,15,4.359,3.948,13.0356,1.9212,0.093,15,inactive
e288,31.652,21,5,34,4.373,3.75,17.6442,2.0169,0.119,20,inactive
e289,37.027,16,31,39,3.663,3.397,14.062,1.7495,0.126,27,inactive
e290,11.624,14,7,17,4.149,3.684,10.624,2.0549,0.071,11,inactive
e291,6.744,6,0,8,3.882,3.5,11.9055,2.9287,0.095,12,inactive
e292,62.641,26,15,44,3.923,4.124,11.8407,1.6399,0.109,24,inactive
e293,13.241,6,0,16,3.855,3.382,12.419,2.9148,0.079,6,inactive
e294,21.83,2,0,15,4.59,4.023,13.2322,2.3154,0.092,15,inactive
e295,28.191,6,8,20,4.546,4.022,15.6806,2.4943,0.104,16,inactive
e296,19.944,5,0,17,4.913,4.459,13.948,1.7873,0.099,20,inactive
e297,23.685,3,0,15,4.148,3.584,13.9141,2.9649,0.082,6,inactive
e298,17.499,0,0,6,4.325,3.453,11.0219,2.6885,0.092,11,inactive
e299,25.858,6,3,19,4.191,3.584,14.3406,3.3341,0.092,6,inactive
e300,56.19,12,4,42,4.276,4.629,16.155,2.2203,0.095,12,inactive
e301,0.686,12,0,16,3.384,3.022,10.717,2.4004,0.072,6,inactive
e302,0,13,0,18,3.072,2.237,13.2677,2.0447,0.099,6,inactive
e303,22.335,37,8,39,3.715,3.726,18.4637,1.8964,0.137,14,inactive
e304,37.075,9,5,26,4.675,4.162,16.0126,2.8541,0.114,12,inactive
e305,45.939,9,8,29,4.776,4.507,17.2467,2.8009,0.105,12,inactive
e306,23.264,6,8,18,3.903,4.022,11.841,2.4297,0.101,12,inactive
e307,24.04,11,8,21,4.133,3.789,11.2542,1.8979,0.083,12,inactive
e308,32.084,10,0,32,4.072,4.418,12.7799,1.4196,0.103,22,inactive
e309,18.48,3,5,11,3.787,3.785,12.745,3.005,0.094,12,inactive
e310,14.991,3,4,12,4.362,3.823,11.0132,1.7474,0.079,12,inactive
e311,49.586,12,2,35,4.808,4.729,15.394,1.9981,0.105,18,inactive
e312,13.255,0,0,5,4.543,3.725,12.3538,2.9302,0.076,6,inactive
e1158,16.991,4,4,18,3.817,3.187,11.5363,2.2083,0.09,12,inactive
e314,14.058,2,0,17,4.415,4.037,17.4669,2.3532,0.113,13,inactive
e315,24.491,14,3,23,4.105,3.577,11.708,2.4938,0.087,11,inactive
e316,3.211,0,0,4,3.916,2.914,9.0755,2.7357,0.083,5,inactive
e317,41.091,11,9,35,3.659,3.828,11.7826,1.263,0.11,27,inactive
e318,30.601,7,3,29,4.765,4.28,13.0474,1.3882,0.099,22,inactive
e319,17.186,3,0,13,4.419,3.837,12.3169,2.1295,0.085,9,inactive
e320,22.903,12,9,15,2.909,3.916,20,3.0819,0.061,0,inactive
e321,19.641,1,0,11,4.399,4.122,14.6901,2.2837,0.091,9,inactive
e322,6.859,3,6,12,3.639,2.807,10.9581,2.5534,0.105,12,inactive
e323,25.104,7,6,29,3.642,4.244,15.1259,2.1501,0.109,16,inactive
e324,26.585,11,7,21,4.414,4.324,13.4989,2.0128,0.084,12,inactive
e325,2.063,0,0,4,3.722,3.122,8.471,2.6591,0.068,5,inactive
e326,14.987,2,1,15,4.304,4.002,15.2446,2.4251,0.107,16,inactive
e327,5.836,0,0,5,4.22,3.522,13.5916,2.6725,0.109,9,inactive
e328,35.302,7,8,28,3.936,4.533,15.7995,1.5847,0.113,20,inactive
e329,0,1,0,5,3.346,2.322,14.026,2.5004,0.079,10,inactive
e330,0.84,0,0,3,3.182,2.197,8.4791,3.23,0.066,6,inactive
e331,24.585,2,4,26,4.315,4.47,17.9304,1.8803,0.118,21,inactive
e332,29.897,9,9,25,4.295,3.939,18.0987,2.234,0.104,14,inactive
e333,5.378,3,4,9,3.559,2.855,9.3254,2.6218,0.073,6,inactive
e334,25.075,6,18,19,3.45,3.154,12.386,2.2054,0.123,17,inactive
e335,20.44,31,9,33,3.925,3.422,19.0069,2.052,0.114,15,inactive
e336,19.86,1,0,16,4.072,4.096,11.4472,1.4954,0.095,21,inactive
e338,23.503,1,0,13,4.555,4.278,15.4466,2.3291,0.1,9,inactive
e339,9.582,5,0,15,3.422,3.281,13.3891,2.1559,0.104,16,inactive
e340,2.623,2,0,7,3.746,3.457,12.4438,2.9553,0.086,9,inactive
e341,33.588,5,3,29,4.613,4.707,13.6032,1.2674,0.107,25,inactive
e342,8.195,4,0,6,3.479,2.624,6.8632,1.7624,0.064,11,inactive
e343,19.879,6,7,18,4.176,3.682,13.0239,2.0902,0.097,9,inactive
e344,34.975,7,0,28,4.439,4.543,12.8188,1.5357,0.091,18,inactive
e345,29.618,3,2,28,4.263,4.111,12.7075,1.3629,0.108,27,inactive
