Id,Frequency of C - C at topological distance 3,Moriguchi octanol-water partition coeff. (logP),squared Moriguchi octanol-water partition coeff. (logP^2),molecular multiple path count of order 9,path/walk 3 - Randic shape index,largest eigenvalue n. 2 of Burden matrix weighted by mass,normalized leading eigenvalue from augmented edge adjacency mat. weighted by dipole moment,Balaban V index,all-path Wiener index,first Zagreb index by Madan vertex degrees,BindingClass
e20,53,3.239,10.494,6.751,0.407,3.928,0.114,0.211,66023,254.089,binder
e21,53,3.104,9.635,6.608,0.382,3.872,0.113,0.235,56654,236.894,binder
e22,45,3.346,11.198,6.368,0.373,3.814,0.138,0.234,28557,161.3,binder
e23,50,2.625,6.889,6.267,0.379,3.834,0.125,0.231,44053,194.947,binder
e24,44,2.406,5.788,6.019,0.405,3.822,0.154,0.249,25509,156.415,binder
e25,41,5.076,25.761,6.958,0.369,3.856,0.115,0.168,49880,168.636,binder
e26,53,2.71,7.346,6.629,0.382,3.864,0.117,0.246,52487,230.201,binder
e27,46,3.561,12.682,6.023,0.363,3.812,0.131,0.22,31803,164.075,binder
e28,48,3.686,13.59,6.575,0.386,3.877,0.14,0.247,32750,190.923,binder
e29,44,1.618,2.619,6.087,0.405,3.822,0.148,0.255,27609,164.519,binder
e30,47,2.642,6.981,6.351,0.406,3.834,0.145,0.261,29529,172.745,binder
e31,68,0.957,0.915,6.492,0.38,3.852,0.067,0.093,1102711,365.061,binder
e32,44,3.31,10.959,5.69,0.402,3.81,0.147,0.255,23139,150.311,binder
e33,33,3.635,13.211,6.354,0.381,3.795,0.16,0.261,15139,122.207,binder
e34,38,4.637,21.502,6.491,0.352,3.808,0.131,0.21,29795,152.636,binder
e35,51,3.772,14.23,6.205,0.386,3.837,0.14,0.247,32750,175.404,binder
e36,44,1.528,2.334,6.312,0.405,3.832,0.148,0.255,27609,164.519,binder
e37,46,1.916,3.67,6.365,0.378,3.834,0.135,0.231,36309,182.947,binder
e38,36,3.98,15.843,6.559,0.36,3.804,0.142,0.226,21710,140.636,binder
e39,44,4.05,16.399,5.984,0.405,3.809,0.162,0.259,20813,142.872,binder
e40,49,3.613,13.052,5.63,0.385,3.905,0.089,0.201,31016,242.587,binder
e41,49,2.42,5.858,6.258,0.384,3.834,0.128,0.238,40846,190.947,binder
e42,51,3.412,11.64,6.529,0.409,3.89,0.127,0.254,42661,216.118,binder
e43,46,4.154,17.257,6.5,0.393,3.846,0.142,0.22,38328,163.3,binder
e44,33,2.427,5.892,7.376,0.349,3.871,0.119,0.222,22334,171.53,binder
e45,41,3.65,13.324,6.244,0.394,3.81,0.164,0.271,18170,136.207,binder
e46,44,1.528,2.334,6.151,0.405,3.822,0.149,0.255,27609,164.519,binder
e47,46,4.184,17.508,6.052,0.37,3.814,0.122,0.202,40980,182.075,binder
e48,26,2.812,7.906,6.508,0.336,3.822,0.163,0.279,7191,130.739,binder
e50,42,3.827,14.642,6.089,0.396,3.812,0.16,0.265,18568,138.872,binder
e51,68,1.662,2.763,6.45,0.377,3.851,0.067,0.092,1067756,356.957,binder
e52,44,1.638,2.682,6.384,0.405,3.838,0.143,0.258,29927,174.349,binder
e53,49,2.127,4.523,6.433,0.379,3.84,0.131,0.234,39155,188.947,binder
e54,11,2.005,4.018,5.728,0.328,3.802,0.199,0.304,2132,90.322,binder
e55,38,3.923,15.392,5.852,0.405,3.872,0.159,0.266,18500,151.727,binder
e56,48,6.589,43.421,6.006,0.344,3.795,0.111,0.171,50559,180.636,binder
e57,27,2.361,5.572,7.24,0.357,3.768,0.125,0.242,16877,183.24,binder
e58,48,2.88,8.292,6.23,0.4,3.833,0.137,0.257,34403,190.502,binder
e59,5,1.651,2.727,0,0.334,4.137,0.25,0.874,504,212.449,binder
e60,29,1.315,1.729,7.555,0.36,3.773,0.14,0.229,24420,143.51,binder
e61,38,2.763,7.636,5.663,0.405,3.802,0.164,0.266,18500,138.311,binder
e62,46,4.154,17.257,6.72,0.407,3.885,0.145,0.222,45093,161.699,binder
e63,47,1.962,3.848,6.4,0.424,3.86,0.142,0.264,31795,197.941,binder
e64,7,-0.798,0.637,0,0.333,3.317,0.324,0.558,464,69.494,binder
e65,4,-0.592,0.35,3.841,0.3,3.718,0.335,0.474,679,115.343,binder
e66,47,2.173,4.72,6.553,0.426,3.927,0.134,0.265,37612,214.864,binder
e68,47,2.793,7.803,6.469,0.376,3.851,0.125,0.235,43641,214.168,binder
e69,42,3.959,15.675,6.215,0.401,3.806,0.167,0.253,20787,138.872,binder
e70,30,1.396,1.948,7.365,0.366,3.862,0.132,0.162,59780,237.856,binder
e71,42,4.05,16.399,6.054,0.395,3.794,0.162,0.258,21044,140.872,binder
e72,46,4.584,21.016,6.122,0.358,3.802,0.139,0.215,35969,171.728,binder
e73,62,0.294,0.086,6.293,0.367,3.88,0.092,0.17,128816,237.037,binder
e74,36,3.626,13.151,6.691,0.356,3.771,0.149,0.237,21799,140.636,binder
e75,22,1.724,2.972,5.478,0.319,3.862,0.162,0.228,8404,186.226,binder
e76,45,5.149,26.513,5.908,0.406,3.778,0.163,0.269,20118,136.768,binder
e77,40,2.28,5.197,6.019,0.41,3.848,0.158,0.236,35636,161.773,binder
e78,51,3.512,12.334,6.601,0.409,3.896,0.123,0.256,45775,225.949,binder
e79,22,2.877,8.277,5.142,0.359,3.853,0.173,0.255,4838,115.016,binder
e80,42,3.873,15.002,6.801,0.401,3.794,0.165,0.253,20787,138.872,binder
e81,44,1.684,2.837,6.168,0.368,4.036,0.13,0.226,39283,224.671,binder
e82,20,3.018,9.106,7.442,0.359,3.783,0.155,0.275,10452,133.986,binder
e83,56,3.351,11.232,6.82,0.378,3.879,0.101,0.173,161188,249.479,binder
e84,38,3.803,14.465,5.724,0.393,3.765,0.161,0.268,16523,130.207,binder
e85,32,-0.371,0.138,5.985,0.357,3.837,0.152,0.233,5967,149.411,binder
e86,39,4.912,24.123,5.587,0.399,3.772,0.166,0.264,16861,126.768,binder
e87,54,2.349,5.516,6.692,0.393,4.068,0.117,0.169,113443,294.111,binder
e88,14,2.045,4.181,6.477,0.318,3.862,0.151,0.257,10121,209.803,binder
e89,49,5.284,27.918,6.011,0.362,3.807,0.119,0.198,42920,174.636,binder
e90,26,3.768,14.197,5.429,0.329,3.832,0.14,0.21,8036,131.377,binder
e91,51,2.909,8.46,6.615,0.377,3.854,0.113,0.236,55873,232.201,binder
e92,14,4.159,17.297,7.251,0.342,3.837,0.156,0.242,6943,125.743,binder
e93,45,4.178,17.455,6.105,0.401,3.799,0.157,0.259,22682,144.872,binder
e94,42,4.026,16.207,5.986,0.403,3.797,0.157,0.243,23440,143.595,binder
e95,46,2.688,7.223,6.41,0.377,3.821,0.139,0.225,33875,174.843,binder
e96,44,4.878,23.796,5.989,0.355,3.796,0.125,0.207,35254,166.636,binder
e97,52,3.529,12.453,6.594,0.402,3.891,0.126,0.248,45833,220.118,binder
e99,41,4.275,18.273,5.817,0.367,3.796,0.117,0.167,57580,180.739,binder
e100,42,3.904,15.239,6.277,0.399,3.864,0.142,0.227,40595,159.144,binder
e101,36,2.596,6.737,7.478,0.321,3.773,0.079,0.254,44933,271.022,binder
e102,46,4.373,19.125,6.12,0.384,3.806,0.144,0.234,31022,162.023,binder
e103,51,3.71,13.766,6.494,0.378,3.842,0.118,0.215,53041,213.004,binder
e104,51,2.991,8.947,6.333,0.37,3.836,0.115,0.224,52900,213.375,binder
e105,44,3.342,11.17,6.457,0.405,3.865,0.153,0.258,25127,172.495,binder
e106,15,2,4,7.051,0.328,3.838,0.177,0.29,4398,146.898,binder
e107,47,5.193,26.971,6.127,0.36,3.805,0.13,0.201,40195,173.3,binder
e108,54,3.201,10.245,6.601,0.386,3.86,0.111,0.234,58611,232.37,binder
e109,40,5.056,25.561,6.5,0.344,3.808,0.123,0.192,36089,160.636,binder
e110,46,2.002,4.006,6.153,0.378,3.824,0.135,0.231,36309,182.947,binder
e111,39,4.766,22.719,6.704,0.358,3.816,0.122,0.2,37379,167.064,binder
e112,49,5.223,27.282,6.195,0.361,3.844,0.111,0.164,63816,184.636,binder
e113,49,2.149,4.616,6.503,0.397,3.852,0.131,0.242,41025,201.942,binder
e114,49,2.231,4.978,6.485,0.384,3.853,0.128,0.238,41895,198.778,binder
e116,33,3.463,11.995,5.694,0.381,3.769,0.16,0.261,15139,122.207,binder
e117,53,3.104,9.635,6.59,0.393,3.877,0.114,0.236,55399,242.798,binder
e118,44,2.516,6.329,6.084,0.419,3.823,0.15,0.269,26676,172.074,binder
e119,37,3.923,15.392,5.832,0.384,3.787,0.149,0.251,19247,132.207,binder
e120,44,5.025,25.25,6.142,0.352,3.842,0.112,0.162,59408,176.636,binder
e121,53,3.007,9.04,6.59,0.393,3.86,0.114,0.236,55399,228.37,binder
e122,40,3.873,15.002,6.724,0.382,3.791,0.157,0.246,21431,138.872,binder
e123,43,4.154,17.257,6.061,0.375,3.803,0.153,0.24,25830,153.3,binder
e124,39,4.279,18.312,6.816,0.337,4.021,0.105,0.18,56226,252.656,binder
e125,20,0.777,0.603,6.034,0.331,4.102,0.118,0.21,25844,271.015,binder
e126,47,2.855,8.152,6.4,0.424,3.884,0.142,0.264,31795,193.69,binder
e127,47,3.433,11.782,6.064,0.405,3.827,0.153,0.258,25127,156.976,binder
e128,18,-5.5,30.252,5.094,0.386,3.768,0.102,0.229,21522,220.847,binder
e129,47,1.556,2.423,6.394,0.367,3.835,0.12,0.201,50132,205.375,binder
e130,15,-7.569,57.285,4.443,0.294,3.728,0.101,0.622,6458,252.057,binder
e131,42,4.031,16.247,5.497,0.396,3.788,0.159,0.265,18568,138.872,binder
e132,36,4.203,17.668,6.475,0.365,3.807,0.141,0.228,24273,144.636,binder
e133,49,2.938,8.633,6.542,0.4,3.856,0.116,0.227,54765,229.772,binder
e134,47,1.639,2.686,6.188,0.367,3.825,0.12,0.201,50132,205.375,binder
e135,50,1.761,3.1,6.46,0.368,3.841,0.116,0.204,53806,211.375,binder
e136,47,1.661,2.758,6.422,0.41,3.844,0.145,0.257,30009,170.519,binder
e137,47,1.855,3.439,6.4,0.424,3.847,0.142,0.264,31795,183.513,binder
e138,8,0.889,0.791,4.808,0.295,3.495,0.267,0.431,640,68.636,binder
e139,12,5.342,28.535,2.565,0.262,3.619,0.203,0.454,1082,79.867,binder
e141,5,3.579,12.81,0,0.334,3.645,0.262,0.521,1171,130.89,binder
e142,0,2.026,4.106,0,0,2.951,1.006,1.553,16,112.934,binder
e143,5,0.693,0.48,2.409,0.33,3.213,0.301,0.468,694,61.41,binder
e144,4,3.869,14.972,0,0.219,3.279,0.3,0.666,56,22,binder
e145,4,0.538,0.289,0,0.237,3.29,0.457,0.757,102,42.746,binder
e146,23,3.092,9.558,7.168,0.385,3.728,0.19,0.331,6188,105.234,binder
e147,20,3.108,9.662,6.116,0.354,3.58,0.203,0.348,2666,94.946,binder
e148,14,2.11,4.45,6.019,0.337,3.766,0.201,0.328,2124,94.415,binder
e150,19,3.399,11.552,6.715,0.346,3.634,0.21,0.343,3356,79.027,binder
e151,10,4.556,20.757,6.624,0.338,4.189,0.176,0.28,2481,150.188,binder
e152,53,2.84,8.063,6.547,0.396,3.858,0.12,0.241,49234,213.942,binder
e153,6,0.318,0.101,0,0.333,3.167,0.333,0.582,247,43.441,binder
e154,33,3.458,11.961,6.786,0.381,3.804,0.179,0.261,15139,122.207,binder
e155,44,1.528,2.334,6.116,0.396,3.817,0.14,0.253,27365,159.19,binder
e157,43,4.556,20.758,5.74,0.381,3.795,0.132,0.232,29182,158.636,binder
e158,44,4.122,16.995,6.277,0.399,3.883,0.142,0.227,40595,155.877,binder
e159,18,3.092,9.558,6.861,0.348,3.786,0.182,0.285,5070,104.415,binder
e160,18,3.113,9.692,6.644,0.336,3.666,0.213,0.305,7073,131.27,binder
e161,18,1.764,3.112,7.056,0.363,3.798,0.167,0.28,6474,120.622,binder
e162,20,2.83,8.009,6.937,0.352,3.788,0.174,0.278,5820,109.19,binder
e163,18,2.581,6.659,6.873,0.338,3.785,0.18,0.281,5072,104.415,binder
e164,18,0.992,0.984,7.127,0.355,3.822,0.158,0.267,7625,128.726,binder
e165,18,2.581,6.659,6.891,0.339,3.786,0.18,0.278,5072,104.415,binder
e166,20,2.013,4.054,7.082,0.35,3.814,0.158,0.258,7713,125.397,binder
e167,21,2.013,4.054,7.047,0.356,3.807,0.161,0.266,7576,124.733,binder
e172,8,-0.968,0.937,3.841,0.302,3.527,0.311,0.448,486,59.455,inactive
e173,26,1.725,2.976,7.797,0.34,4.022,0.115,0.172,27999,164.649,inactive
e174,1,-0.353,0.125,0,0.332,3.507,0.491,0.902,121,76.479,binder
e177,34,2.254,5.08,7.243,0.373,3.869,0.128,0.205,55192,161.775,inactive
e178,8,-0.724,0.524,2.151,0.373,3.203,0.277,0.554,506,61.958,inactive
e179,5,0.18,0.033,0,0.313,3.767,0.359,0.477,599,106.969,inactive
e182,8,1.469,2.157,5.55,0.299,3.539,0.24,0.33,1614,78.591,inactive
e184,34,4.683,21.932,7.338,0.321,3.719,0.139,0.276,9194,109.415,inactive
e185,22,4.039,16.311,7.251,0.371,6.867,0.153,0.275,7592,258.156,inactive
e186,2,-0.232,0.054,0,0.31,3.181,0.468,0.621,159,42.149,inactive
e187,32,4.104,16.841,7.04,0.34,3.686,0.165,0.286,9448,122.163,inactive
e188,19,1.821,3.316,5.157,0.348,3.846,0.198,0.237,8128,169.511,inactive
e189,0,-1.707,2.914,0,0.18,3.284,0.522,0.932,66,73.151,inactive
e193,14,2.677,7.164,5.719,0.333,3.672,0.182,0.285,3648,89.662,inactive
e200,20,3.391,11.501,7.221,0.311,3.769,0.15,0.254,6047,122.8,inactive
e202,11,-0.318,0.101,4.427,0.302,3.619,0.193,0.411,1225,91.754,inactive
e204,2,-0.145,0.021,0,0.274,2.836,0.357,0.643,131,32.415,inactive
e205,13,2.926,8.563,4.386,0.3,3.689,0.228,0.408,1129,105.743,inactive
e206,13,1.255,1.574,5.104,0.321,3.781,0.204,0.27,3635,159.446,inactive
e208,19,3.976,15.808,4.511,0.245,3.657,0.146,0.403,2807,110.363,inactive
e209,1,-2.465,6.074,0,0.209,3.171,0.599,0.758,52,29.122,inactive
e210,25,3.491,12.187,4.828,0.324,3.661,0.16,0.292,3580,113.647,binder
e212,4,0.041,0.002,5.445,0.326,3.455,0.215,0.335,2325,96.19,inactive
e213,2,-1.03,1.06,1.609,0.213,3.558,0.34,0.577,261,113.756,inactive
e4148,5,1.635,2.672,0,0.32,3.523,0.315,0.504,502,66.605,inactive
e217,3,-1.677,2.814,0,0.216,3.366,0.449,0.626,114,37.122,inactive
e218,1,0.582,0.338,4.355,0.349,3.218,0.281,0.49,692,60.875,inactive
e219,33,5.106,26.066,7.44,0.346,10.692,0.111,0.216,18978,465.754,inactive
e220,14,2.37,5.619,4.555,0.287,3.6,0.176,0.364,1557,87.367,inactive
e221,0,2.224,4.946,0,0.324,3.357,0.213,0.498,879,83.906,inactive
e222,11,1.373,1.885,4.977,0.352,3.704,0.229,0.327,1755,90.055,inactive
e223,19,4,16.002,5.131,0.307,3.809,0.144,0.266,2952,115.574,inactive
e224,16,1.763,3.108,6.636,0.309,3.87,0.18,0.323,5332,172.897,inactive
e226,11,2.11,4.451,3.841,0.302,3.623,0.259,0.45,696,84.641,inactive
e227,15,1.991,3.964,4.981,0.267,3.765,0.129,0.212,3633,114.246,inactive
e229,10,1.697,2.878,4.977,0.352,3.976,0.295,0.375,2212,151.005,inactive
e231,14,2.271,5.156,5.143,0.306,3.707,0.186,0.258,2440,91.04,inactive
e233,2,0.812,0.659,0,0.303,3.759,0.334,0.732,226,78.685,inactive
e234,20,3.795,14.405,5.948,0.328,3.906,0.121,0.15,22489,155.554,inactive
e235,6,0.736,0.542,4.875,0.399,3.475,0.265,0.45,1538,89.337,inactive
e236,18,0.246,0.061,6.678,0.355,3.822,0.154,0.268,7642,128.726,inactive
e237,5,1.426,2.033,4.313,0.304,3.925,0.276,0.409,1121,142.529,inactive
e238,5,1.466,2.148,3.726,0.326,3.563,0.311,0.442,881,82.326,inactive
e239,6,0.821,0.674,4.024,0.31,3.718,0.25,0.32,1226,102.184,inactive
e240,5,-0.219,0.048,6.232,0.341,4.688,0.264,0.393,2608,192.412,inactive
e241,21,3.732,13.929,7.255,0.332,3.967,0.129,0.216,12331,146.458,inactive
e242,34,4.541,20.617,6.464,0.321,3.847,0.115,0.171,13201,146.496,inactive
e243,11,2.1,4.41,4.379,0.315,3.643,0.226,0.365,1172,83.322,inactive
e244,39,4.514,20.378,7.548,0.345,3.719,0.134,0.255,15496,121.748,binder
e245,8,-0.397,0.157,3.841,0.307,3.607,0.287,0.433,609,80.974,inactive
e247,22,2.484,6.173,6.098,0.33,3.785,0.138,0.182,10225,138.44,inactive
e249,14,0.726,0.527,6.749,0.368,3.626,0.183,0.309,6633,122.307,inactive
e251,10,2.123,4.506,4.391,0.273,3.609,0.218,0.33,1281,102.345,inactive
e252,11,1.36,1.85,6.68,0.352,4.687,0.176,0.232,15970,241.078,inactive
e256,26,3.644,13.278,6.766,0.33,3.728,0.156,0.286,8253,105.802,inactive
e257,29,3.528,12.45,6.951,0.321,3.726,0.145,0.276,9194,112.958,inactive
e259,6,1.495,2.234,6.004,0.337,3.915,0.314,0.424,1643,136.537,inactive
e260,13,1.713,2.934,3.944,0.363,3.553,0.231,0.456,1010,83.611,inactive
e262,12,-1.484,2.201,0,0.336,3.502,0.309,0.532,469,62.546,inactive
e264,16,-1.691,2.86,3.091,0.243,3.663,0.147,0.515,2289,137.633,inactive
e266,10,1.002,1.004,6.134,0.364,3.813,0.189,0.298,4940,121.519,inactive
e268,11,0.2,0.04,4.523,0.269,3.527,0.212,0.41,1053,90.231,inactive
e270,20,2.322,5.393,7.232,0.358,3.739,0.157,0.291,10314,136.518,inactive
e271,9,1.426,2.034,3.596,0.3,3.464,0.275,0.415,651,64.149,inactive
e1983,19,2.934,8.606,6.848,0.333,3.694,0.182,0.285,3648,87.497,inactive
e273,25,2.299,5.284,6.674,0.358,3.837,0.156,0.286,7833,135.218,inactive
e274,3,0.083,0.007,4.738,0.257,4.232,0.213,0.313,2022,181.666,inactive
e275,19,0.6,0.36,5.779,0.32,3.858,0.142,0.171,14599,210.719,inactive
e276,10,1.149,1.321,0,0.314,3.387,0.307,0.527,442,61.122,inactive
e277,8,2.296,5.272,4.523,0.303,3.582,0.245,0.441,897,107.527,inactive
e280,16,1.373,1.884,7.096,0.365,3.634,0.192,0.333,4762,93.184,inactive
e282,7,0.744,0.554,0,0.318,3.319,0.279,0.496,414,54.901,inactive
e283,14,2.051,4.206,6.609,0.333,3.762,0.179,0.24,4185,103.514,inactive
e284,10,0.848,0.72,4.007,0.308,3.541,0.215,0.419,886,78.032,inactive
e285,10,1.178,1.388,5.699,0.338,3.687,0.208,0.294,3160,91.247,binder
e287,15,1.908,3.642,5.988,0.343,3.841,0.167,0.254,5160,105.941,inactive
e288,34,3.528,12.45,7.207,0.354,3.877,0.148,0.26,14488,148.135,inactive
e289,39,3.625,13.143,7.552,0.346,3.812,0.126,0.208,21720,172.07,inactive
e290,17,2.436,5.936,5.359,0.338,3.743,0.199,0.287,2530,96.532,inactive
e291,8,2.788,7.772,6.285,0.352,3.765,0.202,0.365,1969,120.81,inactive
e295,20,2.13,4.538,6.907,0.357,3.986,0.181,0.276,10098,193.465,inactive
e297,15,1.985,3.94,4.62,0.346,3.636,0.181,0.385,1922,117.441,inactive
e299,19,2.892,8.363,5.062,0.293,3.521,0.183,0.415,1978,105.49,inactive
e300,42,2.669,7.123,5.612,0.367,3.886,0.123,0.246,12202,186.835,inactive
e301,16,2.794,7.806,0,0.428,3.264,0.305,0.531,877,71.721,inactive
e306,18,2.963,8.777,5.816,0.32,3.791,0.16,0.308,2752,102.141,inactive
e307,21,3.164,10.014,4.892,0.318,3.834,0.143,0.247,3563,112.261,inactive
e308,32,2.651,7.027,6.855,0.34,3.897,0.103,0.157,26051,163.021,inactive
e310,12,1.159,1.342,4.808,0.302,3.827,0.156,0.214,3716,112.646,inactive
e311,35,3.081,9.492,6.811,0.34,3.847,0.108,0.219,18846,197.049,binder
e312,5,0.714,0.509,4.738,0.328,3.792,0.204,0.381,1416,107.982,inactive
e1158,18,3.66,13.399,6.131,0.305,3.82,0.136,0.237,4491,115.249,inactive
e314,17,0.945,0.893,6.749,0.368,3.641,0.18,0.309,6633,120.253,inactive
e315,23,3.04,9.24,5.504,0.345,3.687,0.183,0.341,2561,105.601,inactive
e316,4,-1.557,2.426,0,0.295,3.404,0.344,0.516,379,61.974,inactive
e317,35,3.391,11.496,6.478,0.341,3.925,0.105,0.143,33562,181.678,binder
e318,29,3.688,13.602,6.387,0.35,3.895,0.119,0.164,26132,169.087,inactive
e319,13,1.306,1.707,5.658,0.306,3.612,0.168,0.278,2852,97.088,inactive
e320,15,4.445,19.759,2.639,0.249,3.616,0.179,0.433,1480,85.374,inactive
e321,11,1.356,1.839,5.398,0.346,3.631,0.19,0.314,3856,117.774,inactive
e322,12,2.528,6.392,5.547,0.328,3.67,0.245,0.372,1393,74.962,inactive
e325,4,-0.77,0.593,0,0.294,3.391,0.377,0.526,295,53.87,inactive
e326,15,0.942,0.888,6.439,0.366,3.826,0.191,0.271,8059,178.758,inactive
e327,5,0.736,0.542,4.8,0.357,3.452,0.256,0.411,1541,84.949,inactive
e329,5,1.666,2.776,4.007,0.324,3.345,0.277,0.465,750,57.41,inactive
e331,26,1.113,1.238,7.026,0.347,3.728,0.133,0.227,21061,155.169,inactive
e333,9,2.746,7.543,3.841,0.283,3.506,0.252,0.425,500,53.748,inactive
e335,33,4.533,20.55,7.164,0.33,3.719,0.157,0.286,8253,103.055,inactive
e336,16,1.852,3.429,5.843,0.334,3.821,0.133,0.182,12856,133.411,inactive
e338,13,1.876,3.519,5.644,0.338,3.635,0.173,0.308,5103,126.107,inactive
e340,7,1.936,3.749,5.853,0.287,3.613,0.277,0.346,1849,132.921,binder
e341,29,3.613,13.056,6.725,0.356,3.915,0.113,0.146,53500,184.247,inactive
e342,6,1.859,3.455,2.565,0.275,3.635,0.221,0.304,878,79.594,inactive
e343,18,2.634,6.937,5.38,0.319,3.628,0.185,0.294,3285,98.35,inactive
e344,28,1.603,2.571,5.467,0.331,3.853,0.11,0.171,17231,170.956,inactive
e345,28,2.342,5.487,6.256,0.356,3.878,0.13,0.163,39499,172.903,inactive
e346,11,1.97,3.879,6.662,0.334,3.947,0.195,0.245,6447,164.459,inactive
e347,8,2.076,4.31,4.605,0.317,3.693,0.211,0.347,1419,91.72,inactive
e348,13,2.001,4.006,6.395,0.328,3.694,0.178,0.271,4039,113.734,inactive
e349,18,-0.156,0.024,5.056,0.307,3.77,0.107,0.212,18496,212.441,inactive
e350,13,1.133,1.284,4.427,0.302,3.62,0.193,0.411,1225,89.7,inactive
e351,21,2.6,6.762,7.947,0.379,3.737,0.184,0.307,10868,105.545,inactive
e352,29,3.358,11.275,5.849,0.348,3.882,0.13,0.165,22854,169.087,binder
e353,4,-0.096,0.009,2.197,0.348,3.252,0.378,0.486,698,60.866,inactive
e354,27,1.137,1.293,7.03,0.353,3.864,0.133,0.23,20484,177.676,inactive
e355,17,1.588,2.523,4.878,0.332,3.818,0.235,0.389,2484,149.855,inactive
e2677,0,-2.884,8.318,0,0,2.499,0.85,1.553,16,21.443,inactive
e360,21,3.525,12.424,5.746,0.34,3.9,0.133,0.16,20214,167.667,inactive
e363,10,2.877,8.279,5.732,0.327,3.672,0.279,0.39,1509,98.875,inactive
e364,13,2.643,6.983,4.722,0.281,3.549,0.193,0.333,1833,93.004,inactive
e365,16,1.261,1.591,6.499,0.353,3.781,0.154,0.308,3874,118.686,inactive
e369,19,1.553,2.412,5.299,0.339,3.804,0.177,0.301,2732,107.456,inactive
e371,9,1.046,1.094,6.991,0.344,3.956,0.177,0.275,4154,164.974,inactive
e373,3,-1.785,3.186,0,0.249,3.356,0.45,0.726,104,39.455,inactive
e374,10,2.835,8.035,5.107,0.328,3.831,0.281,0.34,1660,101.225,inactive
e375,13,-0.567,0.322,4.363,0.303,3.732,0.147,0.201,4785,130.532,inactive
e376,23,3.608,13.014,5.411,0.33,3.684,0.188,0.329,2296,97.497,inactive
e377,13,1.587,2.518,6.23,0.318,3.675,0.176,0.305,2994,115.854,inactive
e378,11,-0.161,0.026,3.663,0.316,3.818,0.278,0.484,595,129.98,inactive
e379,0,-1.554,2.414,0,0.368,4.169,0.426,1.127,136,214.172,inactive
e380,18,1.657,2.745,7.13,0.326,3.803,0.171,0.242,5802,110.023,inactive
e381,23,2.965,8.79,7.434,0.339,3.83,0.135,0.243,17388,151.999,inactive
e383,16,2.502,6.262,0,0.354,3.312,0.345,0.644,379,61.081,inactive
e387,17,1.474,2.173,5.433,0.348,3.757,0.228,0.346,1752,90.879,inactive
e389,33,-3.135,9.827,5.432,0.313,3.907,0.093,0.175,19851,215.888,inactive
e390,4,-0.186,0.034,3.841,0.3,3.717,0.335,0.474,679,114.155,inactive
e391,23,3.771,14.217,6.668,0.348,3.964,0.149,0.202,14236,193.107,inactive
e394,8,1.453,2.111,4.849,0.313,3.821,0.198,0.262,2003,92.587,inactive
e395,9,1.994,3.976,4.577,0.301,3.641,0.247,0.344,898,61.497,inactive
e397,1,0.261,0.068,4.511,0.343,3.679,0.253,0.362,1303,114.094,inactive
e398,7,0.508,0.258,4.202,0.289,3.528,0.26,0.41,735,73.39,inactive
e399,5,1.872,3.503,4.64,0.326,3.642,0.258,0.442,881,81.084,inactive
e400,9,1.68,2.823,3.056,0.278,3.446,0.272,0.415,652,65.811,inactive
e401,6,-2.46,6.05,0,0.209,3.462,0.366,0.776,170,56.308,inactive
e402,30,0.685,0.469,6.515,0.322,3.748,0.156,0.271,3971,112.109,inactive
